着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,6,8,アルマスティング,セ3,54,勝浦正樹,1:53.4,,**,6-7-6-4,38.2,20.5,7,484(-6),,,,[東]田村康仁,コウトミックレーシング,750.0
2,8,12,マックスアン,牡3,54,田辺裕信,1:53.4,クビ,**,5-5-3-2,38.4,1.7,1,460(0),,,,[東]大和田成,ＴＵＲＦレーシング,300.0
3,6,7,マンナム,牡4,57,松山弘平,1:53.7,1.3/4,**,2-2-2-1,38.9,6.0,2,490(-2),,,,[西]西村真幸,永山勝敏,190.0
4,5,5,デストロイ,牡5,54,菅原明良,1:54.4,4,**,8-8-7-6,38.8,86.3,9,498(-4),,,,[東]高橋裕,諸岡慶,110.0
5,8,11,クライベイビー,牝5,54,菊沢一樹,1:54.4,アタマ,**,11-11-7-6,38.9,53.3,8,472(-4),,,,[東]菊沢隆徳,Ｇ１レーシング,75.0
6,7,9,シュバルツバルト,セ3,54,石橋脩,1:55.3,5,**,3-3-3-4,40.4,15.3,6,474(-18),,,,[東]大和田成,村野康司,
7,7,10,ロゼフェニックス,牡4,57,北村宏司,1:55.6,2,**,6-6-7-9,40.1,10.9,5,426(+6),,,,[東]高橋義博,高橋信博,
8,5,6,フッカツノノロシ,牡6,54,山田敬士,1:55.9,1.3/4,**,12-12-12-12,39.3,124.2,12,504(+2),,,,[東]小桧山悟,福田光博,
9,3,3,ベルウッドヘルタ,牡4,57,吉田豊,1:56.0,1/2,**,10-10-10-10,40.3,100.5,11,510(+10),,,,[東]高橋文雅,鈴木照雄,
10,2,2,オイシイナア,牝3,49,藤田菜七,1:56.2,1.1/4,**,1-1-1-2,41.4,7.7,3,452(-10),,,,[東]本間忍,小田切有一,
11,1,1,アララトテソーロ,牡3,54,木幡巧也,1:56.8,3.1/2,**,4-4-5-8,41.7,8.0,4,472(+8),,,,[東]和田雄二,了徳寺健二ホールディングス,
12,4,4,ロンギングファロー,セ4,57,横山和生,1:57.3,3,**,8-8-11-11,41.2,92.9,10,458(-6),,,,[東]高柳瑞樹,坂本浩一,
