着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,5,ラテールプロミーズ,セ6,60,五十嵐雄,3:19.3,,,1-1-1-1,13.8,2.4,1,514(0),,,,[東]田村康仁,ディアレストクラブ,780.0
2,7,8,コウキチョウサン,牡6,60,金子光希,3:19.9,3.1/2,,5-4-3-3,13.9,4.7,2,470(+4),,,,[東]和田正一,チョウサン,310.0
3,1,1,ニシノベイオウルフ,牡4,60,大江原圭,3:19.9,クビ,,3-2-2-2,13.9,10.0,5,494(0),,,,[東]小桧山悟,西山茂行,200.0
4,8,9,ホリデーモード,セ4,60,伴啓太,3:20.2,2,,3-5-6-5,13.9,37.4,7,490(+4),,,,[東]矢野英一,下河辺隆行,120.0
5,8,10,ブルーガーディアン,牡7,60,大庭和弥,3:20.3,クビ,,2-2-3-4,13.9,5.0,3,492(+2),,,,[東]星野忍,ＹＧＧホースクラブ,78.0
6,6,6,ダイワスキャンプ,セ7,60,小野寺祐,3:21.1,5,,7-7-5-5,14.0,5.3,4,442(+2),,,,[東]鹿戸雄一,大城敬三,
7,4,4,ソウラセブン,牝4,58,伊藤工真,3:22.9,大,,9-9-10-9,14.1,87.3,10,452(+2),,,,[東]柄崎孝,村田滋,
8,3,3,リセンティート,牡5,60,鈴木慶太,3:23.2,2,,10-10-9-7,14.1,74.4,9,510(+2),,,,[東]尾形和幸,米津佳昭,
9,2,2,シゲルアミメキリン,牡5,60,上野翔,3:23.5,1.3/4,,7-7-6-8,14.1,43.4,8,478(+4),,,,[東]蛯名利弘,森中蕃,
10,7,7,アキンド,牡3,58,石神深一,3:24.6,7,,5-5-8-10,14.2,13.4,6,496(-2),,,,[東]粕谷昌央,小田切有一,
