着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,2,2,ユナカイト,牝3,53,Ｍ．デム,1:34.3,,**,4-3-4,33.9,1.5,1,478(+6),,,,[東]木村哲也,シルクレーシング,750.0
2,8,14,レオンドーロ,牝3,53,丹内祐次,1:34.5,1.1/4,**,2-3-3,34.1,15.0,4,468(-2),,,,[東]伊藤大士,ビッグレッドファーム,300.0
3,5,9,アピールバイオ,牝5,55,木幡巧也,1:34.5,クビ,**,4-5-4,34.0,35.1,6,464(+8),,,,[東]牧光二,バイオ,190.0
4,5,8,アルママ,牡3,55,柴田大知,1:34.6,クビ,**,2-2-2,34.3,9.7,3,450(+4),,,,[東]畠山吉宏,ビッグレッドファーム,110.0
5,7,12,ウインレフィナード,牡3,54,横山武史,1:34.8,1.1/4,**,4-7-6,34.1,78.1,10,444(-6),,,,[東]畠山吉宏,ウイン,75.0
6,6,11,ヘイワノツカイ,牡3,55,丸山元気,1:34.8,ハナ,**,10-8-6,34.0,3.6,2,450(-4),,,,[東]相沢郁,星野壽市,
7,4,7,レディードリー,牝3,50,藤田菜七,1:34.9,3/4,**,12-11-10,33.8,18.6,5,428(+2),,,,[東]深山雅史,小林博雄,
8,2,3,サトノテラス,牡4,55,木幡育也,1:34.9,クビ,**,1-1-1,34.8,62.5,8,562(+28),,,,[東]藤沢和雄,サトミホースカンパニー,
9,7,13,スピリットソウル,牡5,57,松岡正海,1:35.3,2.1/2,**,10-12-13,34.1,40.3,7,502(-8),,,,[東]手塚貴久,落合幸弘,
10,1,1,ナンヨーマーズ,牡5,57,柴田善臣,1:35.4,クビ,**,15-14-13,33.9,185.1,11,444(-10),,,,[東]杉浦宏昭,中村徳也,
11,3,5,リリカルドリーム,牝4,54,野中悠太,1:35.4,クビ,**,14-14-13,34.0,76.1,9,446(+6),,,,[東]竹内正洋,水上行雄,
12,6,10,クロムウェル,牡3,52,菅原明良,1:35.5,クビ,**,8-10-9,34.6,371.9,14,436(+8),,,,[東]加藤和宏,ミルファーム,
13,8,15,ブショウ,セ4,57,石橋脩,1:35.6,1/2,**,4-5-6,35.0,296.1,12,472(-3),,,,[東]尾関知人,岩切企画,
14,3,4,コンゴウトシオー,牡5,54,小林凌大,1:36.0,2.1/2,**,8-8-10,35.2,360.3,13,460(0),,,,[東]伊藤伸一,田畑利彦,
15,4,6,ブラックギムレット,牡5,57,大野拓弥,1:36.8,5,**,13-12-10,35.5,391.6,15,442(-8),,,,[東]稲垣幸雄,黒澤尚,
