着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,4,8,ショウナンハレルヤ,牝2,54,三浦皇成,1:38.6,,**,2-2-2,34.1,2.2,1,462(0),,,,[東]矢野英一,国本哲秀,700.0
2,7,13,ジュエルタワー,牝2,54,田辺裕信,1:38.8,1.1/2,**,8-5-3,34.0,3.6,2,440(0),,,,[東]尾形和幸,社台レースホース,280.0
3,3,5,ヒガシヴァルキリー,牝2,53,武藤雅,1:39.1,1.3/4,**,2-3-5,34.4,21.4,4,410(0),,,,[東]林徹,ヤナガワ牧場,180.0
4,1,2,デイトライン,牝2,54,石橋脩,1:39.2,クビ,**,4-3-3,34.6,5.5,3,434(0),,,,[東]高橋文雅,キャロットファーム,110.0
5,2,3,バイカル,牝2,54,柴田大知,1:39.5,2,**,7-7-7,34.5,49.0,10,452(0),,,,[東]勢司和浩,ビッグレッドファーム,70.0
6,2,4,ムーンフェアリー,牝2,54,丹内祐次,1:39.6,クビ,**,4-5-5,34.8,28.1,6,444(0),,,,[東]岩戸孝樹,村山卓也,
7,5,10,ココニアル,牝2,54,大野拓弥,1:39.7,1/2,**,8-10-10,34.4,25.2,5,436(0),,,,[東]和田勇介,村田能光,
8,7,14,ブラックヴァローナ,牝2,51,大塚海渡,1:39.7,クビ,**,8-10-10,34.5,82.6,12,420(0),,,,[東]林徹,黒澤尚,
9,8,15,ザビーチ,牝2,54,田中勝春,1:39.8,3/4,**,12-7-7,34.8,36.5,8,456(0),,,,[東]高市圭二,田中春美,
10,4,7,モンテスデラルーナ,牝2,51,藤田菜七,1:39.9,1/2,**,1-1-1,35.5,38.3,9,464(0),,,,[東]加藤士津,窪田康志,
11,6,12,ピュアフライト,牝2,54,武士沢友,1:39.9,アタマ,**,12-10-10,34.7,28.1,7,490(0),,,,[東]高市圭二,ターフ・スポート,
12,3,6,ゲンパチノーブル,牝2,54,木幡巧也,1:40.3,2.1/2,**,11-13-13,34.9,105.6,13,442(0),,,,[東]青木孝文,平野武志,
13,1,1,シベーレス,牝2,54,松岡正海,1:40.8,3,**,16-15-13,35.2,74.1,11,448(0),,,,[東]中舘英二,柳裕一郎,
14,6,11,ゼンダンスネーク,牝2,54,吉田豊,1:41.0,1.1/4,**,12-15-15,35.4,265.2,16,466(0),,,,[東]土田稔,渡邊善男,
15,5,9,キタノマナザシ,牝2,51,山田敬士,1:41.2,1.1/4,**,6-7-7,36.2,217.3,15,464(0),,,,[東]蛯名利弘,北所直人,
16,8,16,シンキングアイル,牝2,51,菅原明良,1:43.8,大,**,12-13-16,38.4,123.5,14,462(0),,,,[東]武市康男,佐藤雄司,
