着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,6,10,ポタジェ,牡2,54,川田将雅,1:50.1,,**,13-13-7-8,34.6,1.3,1,450(0),,,,[西]友道康夫,金子真人ホールディングス,700.0
2,8,13,ハーレムシャドウ,牡2,54,福永祐一,1:50.3,1,**,3-2-2-2,35.2,16.7,4,496(0),,,,[西]須貝尚介,飯塚知一,280.0
3,3,3,ドリームメッセージ,牡2,54,丸山元気,1:50.3,ハナ,**,9-11-14-12,34.0,62.7,8,432(0),,,,[東]中川公成,堀口晴男,180.0
4,2,2,ユピテルルークス,牡2,54,浜中俊,1:50.3,クビ,**,12-11-4-4,35.0,6.1,2,488(0),,,,[西]清水久詞,輝レーシング,110.0
5,7,12,ポーラーサン,牡2,53,武藤雅,1:50.5,1.1/4,**,2-3-4-5,35.2,13.2,3,462(0),,,,[東]久保田貴,窪田康志,70.0
6,5,7,ワカミヤアトゥ,牡2,54,三浦皇成,1:50.6,1/2,**,8-7-7-5,35.1,26.8,6,460(0),,,,[東]稲垣幸雄,芳川貴行,
7,4,6,ガニアン,牡2,54,岩田康誠,1:50.6,クビ,**,9-10-9-9,34.8,25.8,5,454(0),,,,[東]田村康仁,ラ・メール,
8,7,11,コスモプロケッラ,牡2,54,柴田大知,1:51.0,2.1/2,**,3-3-2-2,35.8,121.9,11,438(0),,,,[東]蛯名利弘,ビッグレッドファーム,
9,6,9,リブエターナル,牝2,54,幸英明,1:51.1,1/2,**,6-5-4-5,35.8,146.4,12,460(0),,,,[東]田村康仁,大塚亮一,
10,8,14,ガッツ,牡2,54,杉原誠人,1:51.4,1.3/4,**,1-1-1-1,36.4,90.2,10,478(0),,,,[東]伊藤大士,ミルファーム,
11,4,5,コスモイダマシネ,牡2,54,丹内祐次,1:51.6,1.1/4,**,9-9-9-11,35.8,81.7,9,456(0),,,,[東]武藤善則,ビッグレッドファーム,
12,3,4,エスペルト,牡2,54,菱田裕二,1:51.6,クビ,**,6-7-9-9,35.9,220.2,13,484(0),,,,[東]池上昌和,ラ・メール,
13,1,1,リンガスウォリアー,牡2,54,藤岡佑介,1:51.7,1/2,**,14-14-13-13,35.5,45.3,7,466(0),,,,[東]中舘英二,伊藤巖,
14,5,8,エリンクロノス,牡2,52,木幡育也,1:53.9,大,**,3-6-12-14,38.0,376.3,14,510(0),,,,[東]大江原哲,田頭勇貴,
