着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,4,8,タワーオブロンドン,牡4,57,ルメール,1:07.1,,**,11-8,33.5,2.9,2,514(-2),,,,[東]藤沢和雄,ゴドルフィン,"11,344.4"
2,4,7,モズスーパーフレア,牝4,55,松若風馬,1:07.2,1/2,**,1-1,34.4,6.2,3,502(-4),,,,[西]音無秀孝,キャピタル・システム,"4,498.4"
3,1,2,ダノンスマッシュ,牡4,57,川田将雅,1:07.2,クビ,**,7-8,33.7,2.8,1,470(-8),,,,[西]安田隆行,ダノックス,"2,849.2"
4,7,13,ミスターメロディ,牡4,57,福永祐一,1:07.4,1,**,4-2,34.1,15.7,6,502(+6),,,,[西]藤原英昭,グリーンフィールズ,"1,700.0"
5,3,5,レッツゴードンキ,牝7,55,岩田康誠,1:07.5,1/2,**,14-14,33.4,47.0,9,490(-12),,,,[西]梅田智之,廣崎利洋ＨＤ,"1,100.0"
6,6,12,ダイメイプリンセス,牝6,55,秋山真一,1:07.5,ハナ,**,7-5,34.0,71.3,12,504(0),,,,[西]森田直行,宮本孝一,
7,7,14,ハッピーアワー,牡3,55,横山典弘,1:07.6,3/4,**,16-16,33.1,194.4,13,434(-12),,,,[西]武幸四郎,高嶋祐子,
8,3,6,ノーワン,牝3,53,内田博幸,1:07.8,1.1/4,**,12-10,33.9,195.9,14,468(-6),,,,[西]笹田和秀,藤田好紀,
9,2,4,リナーテ,牝5,55,三浦皇成,1:07.9,1/2,**,12-10,34.0,14.9,5,486(-2),,,,[西]須貝尚介,サンデーレーシング,
10,1,1,アレスバローズ,牡7,57,菱田裕二,1:08.0,3/4,**,14-14,33.9,55.0,11,484(-8),,,,[西]角田晃一,猪熊広次,
11,8,15,イベリス,牝3,53,浜中俊,1:08.0,クビ,**,4-5,34.8,49.1,10,464(0),,,,[西]角田晃一,前田幸治,
12,2,3,セイウンコウセイ,牡6,57,幸英明,1:08.1,3/4,**,4-5,34.9,41.4,8,500(-2),,,,[東]上原博之,西山茂行,
13,5,9,ディアンドル,牝3,53,藤岡佑介,1:08.6,3,**,7-10,35.1,8.9,4,488(+2),,,,[西]奥村豊,シルクレーシング,
14,6,11,マルターズアポジー,牡7,57,丸山元気,1:08.7,3/4,**,2-2,35.7,205.6,15,536(+6),,,,[東]堀井雅広,藤田在子,
15,5,10,ラブカンプー,牝4,55,酒井学,1:08.8,クビ,**,7-10,35.4,219.9,16,436(+2),,,,[西]森田直行,増田陽一,
16,8,16,ファンタジスト,牡3,55,武豊,1:09.3,3,**,2-2,36.3,26.5,7,482(0),,,,[西]梅田智之,廣崎利洋,
