着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,1,1,ジョーアラビカ,牡5,55,横山典弘,1:32.1,,**,4-4-6,33.6,6.2,3,500(-8),,,,[西]清水久詞,上田けい子,"1,527.3"
2,8,10,トーセンリスト,牝3,51,菊沢一樹,1:32.1,アタマ,**,2-2-2,33.9,24.8,9,440(+18),,,,[東]菊沢隆徳,島川隆哉,607.8
3,6,7,ナムラムツゴロー,牡4,54,松岡正海,1:32.2,3/4,**,2-2-2,33.9,10.5,4,482(-2),,,,[西]長谷川浩,奈村信重,383.9
4,6,6,スイートセント,牝3,52,戸崎圭太,1:32.2,クビ,**,6-4-4,33.8,2.1,1,432(-10),,,,[東]栗田徹,シルクレーシング,230.0
5,2,2,ショワドゥロワ,牡5,55,ルメール,1:32.2,ハナ,**,4-4-4,33.7,4.9,2,508(-2),,,,[東]鹿戸雄一,村野康司,150.0
6,7,9,モルフェオルフェ,牝4,52,江田照男,1:32.4,1.1/4,**,1-1-1,34.4,31.2,10,436(+2),,,,[東]大江原哲,並河賢一郎,
7,4,4,コスモヨハネ,牡7,54,柴田大知,1:32.4,ハナ,**,11-10-10,33.2,20.0,7,488(-4),,,,[東]高橋裕,ビッグレッドファーム,
8,3,3,ボールドジャパン,牡8,53,丸山元気,1:32.5,クビ,**,7-8-8,33.7,156.7,11,522(-2),,,,[東]蛯名利弘,増田陽一,
8,7,8,ウィンターリリー,牝3,51,大野拓弥,1:32.5,同着,**,10-11-10,33.0,13.5,6,434(-8),,,,[東]岩戸孝樹,田頭勇貴,
10,8,11,スズカアーチスト,牝4,52,黛弘人,1:32.5,アタマ,**,7-7-6,33.8,24.0,8,464(-10),,,,[東]伊藤圭三,永井啓弍,
11,5,5,オーヴォドーロ,牝4,53,石橋脩,1:32.7,1.1/4,**,9-9-9,33.7,11.2,5,468(+6),,,,[東]久保田貴,諸江幸祐,
