着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,1,2,リーディングパート,牝3,54,マーフィ,1:36.3,,**,5-3-1,35.8,3.2,2,408(-8),,,,[東]矢野英一,キャロットファーム,510.0
2,6,11,ヴィディア,牝3,54,田辺裕信,1:36.3,クビ,**,13-9-7,35.0,9.5,5,454(+8),,,,[東]大竹正博,サンデーレーシング,200.0
3,6,12,セルフィー,牝3,54,ルメール,1:36.9,3.1/2,**,3-5-6,36.0,3.1,1,460(0),,,,[東]藤沢和雄,フクキタル,130.0
4,5,10,ステラドーロ,牝3,54,シュタル,1:37.0,3/4,**,3-3-2,36.4,5.0,3,446(-4),,,,[東]畠山吉宏,サラブレッドクラブ・ラフィアン,77.0
5,3,5,ユウチャファスト,牝3,54,北村宏司,1:37.2,1.1/4,**,7-5-4,36.3,16.7,6,454(-4),,,,[東]中舘英二,長谷川祐司,51.0
6,7,13,スパイラルバンブー,牝3,52,木幡育也,1:37.4,1.1/4,**,7-13-12,35.7,127.8,13,446(0),,,,[東]田村康仁,ジェイアール,
7,4,7,グランチーノ,牝3,54,津村明秀,1:37.5,1/2,**,7-8-9,36.3,69.4,11,454(-4),,,,[東]岩戸孝樹,小菅誠,
8,7,14,デルタ,牝3,54,和田竜二,1:37.9,2.1/2,**,5-7-7,36.9,69.2,10,442(+10),,,,[東]高橋文雅,村上欽哉,
9,8,16,ロジマジェスティ,牝3,54,丸山元気,1:38.2,1.3/4,**,7-9-11,36.9,9.0,4,422(+6),,,,[東]萩原清,久米田正明,
10,2,3,シエルヴァ,牝3,54,松岡正海,1:38.2,クビ,**,2-2-4,37.9,18.6,7,446(+12),,,,[東]武井亮,桑田牧場,
11,8,15,グラスピエーナ,牝3,54,嘉藤貴行,1:38.7,3,**,7-12-12,37.2,532.4,16,448(-2),,,,[東]田中清隆,半沢,
12,4,8,レジイナアン,牝3,54,松山弘平,1:38.7,アタマ,**,1-1-2,38.5,58.4,9,498(+18),,,,[東]斎藤誠,ＴＵＲＦレーシング,
13,3,6,ルージュルパン,牝3,54,ミナリク,1:39.1,2.1/2,**,12-9-9,37.8,36.5,8,432(-12),,,,[東]小笠倫弘,島川隆哉,
14,2,4,ゴールドシンガー,牝3,54,内田博幸,1:39.3,1.1/4,**,15-13-14,37.6,272.0,14,464(0),,,,[東]古賀慎明,居城寿与,
15,1,1,メロウスマイル,牝3,53,野中悠太,1:40.9,10,**,14-15-15,38.8,473.1,15,378(+2),,,,[東]小島茂之,ヒダカ・ブリーダーズ・ユニオン,
16,5,9,グラニュエル,牝3,54,大野拓弥,1:43.7,大,**,15-16-16,39.9,82.6,12,464(0),,,,[東]加藤征弘,広尾レース,
