着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,16,トレイントレイン,牡4,56,ミナリク,1:54.9,,**,1-1-1-1,38.6,3.0,1,512(+4),,,,[東]池上昌和,ＭＭＣ,760.0
2,1,2,チェリートリトン,牡6,54,小林凌大,1:55.6,4,**,4-4-4-6,38.9,8.1,4,488(0),,,,[東]小西一男,櫻井悦朗,300.0
3,2,4,ジェイエルノブレス,牝5,55,田辺裕信,1:55.8,1,**,12-12-13-13,38.4,21.0,8,462(0),,,,[東]小西一男,橋元幸人,190.0
4,3,6,ペイシャシキブ,牡4,53,山田敬士,1:55.8,アタマ,**,2-2-2-2,39.4,50.4,9,476(+16),,,,[東]高橋裕,北所直人,110.0
5,1,1,コングールテソーロ,牡4,54,菅原明良,1:56.0,1,**,2-2-4-4,39.3,17.5,7,480(+8),,,,[東]奥平雅士,了徳寺健二ホールディングス,76.0
6,8,15,ダンスメーカー,牡5,57,マーフィ,1:56.0,クビ,**,10-6-8-7,39.1,8.8,5,490(+16),,,,[東]戸田博文,Ｇ１レーシング,
7,6,11,クリノクーニング,牡5,57,松岡正海,1:56.1,クビ,**,16-16-16-15,37.7,72.7,10,452(-2),,,,[東]伊藤伸一,栗本博晴,
8,6,12,カイザースクルーン,セ4,56,石川裕紀,1:56.1,クビ,**,10-10-9-9,39.0,3.7,2,486(+2),,,,[東]相沢郁,サンデーレーシング,
9,7,13,レオ,牡4,56,木幡巧也,1:56.7,3.1/2,**,15-15-14-13,39.1,75.2,11,522(+6),,,,[東]伊藤大士,ニッシンホールディングス,
10,3,5,アイコニック,牝4,51,藤田菜七,1:56.7,クビ,**,7-6-9-8,39.7,16.3,6,446(-8),,,,[東]稲垣幸雄,雅苑興業,
11,7,14,ヤマニンバンタジオ,セ6,57,嘉藤貴行,1:56.9,3/4,**,6-6-4-4,40.2,77.2,12,544(+10),,,,[東]田島俊明,土井肇,
12,4,8,アイヅリュウコ,牡4,56,杉原誠人,1:57.1,1.1/4,**,12-14-14-15,39.5,85.1,13,480(-2),,,,[東]小笠倫弘,真部晴徳,
13,5,10,アナザークイーン,牝4,54,横山武史,1:57.1,アタマ,**,9-10-9-12,40.0,211.5,15,464(+1),,,,[東]天間昭一,ビッグレッドファーム,
14,5,9,フクキタル,牝5,55,丸田恭介,1:57.5,2.1/2,**,14-12-2-2,41.1,143.6,14,464(+8),,,,[東]加藤和宏,佐藤範夫,
15,2,3,パリッシュブルー,牝4,54,柴田大知,1:58.1,3.1/2,**,7-6-9-9,41.0,333.6,16,444(+6),,,,[東]粕谷昌央,大野富生,
16,4,7,マイネルプリンチペ,牡5,57,丹内祐次,1:58.9,5,**,4-4-4-9,42.2,5.8,3,466(+2),,,,[東]畠山吉宏,サラブレッドクラブ・ラフィアン,
