着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,15,フランシスコダイゴ,牡4,56,マーフィ,1:11.2,,**,2-2,37.2,3.8,1,468(-12),,,,[東]武市康男,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,"1,100.0"
2,8,16,ミスパイロ,牝5,53,横山武史,1:11.4,1.1/4,**,9-9,36.3,7.7,4,486(-2),,,,[東]小野次郎,村田哲朗,440.0
3,3,6,ジオラマ,牡6,57,戸崎圭太,1:11.5,クビ,**,4-3,37.1,4.8,3,530(+2),,,,[西]西園正都,Ｇ１レーシング,280.0
4,3,5,リガス,牡5,57,津村明秀,1:11.5,ハナ,**,1-1,37.6,8.5,5,520(+2),,,,[西]池添兼雄,カナヤマホールディングス,170.0
5,5,10,ワキノアタリ,牝6,55,ルメール,1:11.5,ハナ,**,5-5,36.8,4.4,2,474(+4),,,,[西]松下武士,脇山良之,110.0
6,6,11,マッジョネラ,セ5,57,吉田隼人,1:11.7,1.1/2,**,5-6,37.0,54.9,11,510(+10),,,,[東]菊沢隆徳,堂守貴志,
7,2,3,トロピカルスパート,牝5,55,石橋脩,1:11.8,クビ,**,12-11,36.2,23.9,8,504(+10),,,,[東]高橋文雅,日向均,
8,1,2,ノーモアゲーム,牡6,56,藤田菜七,1:11.8,クビ,**,16-16,35.5,16.1,7,482(0),,,,[東]浅野洋一,内藤好江,
9,4,8,タンタラスノオカ,牡6,57,蛯名正義,1:11.9,クビ,**,9-9,36.7,30.8,10,510(+4),,,,[東]田中清隆,嶋田賢,
10,1,1,パワフルヒロコ,牝5,55,中井裕二,1:12.0,1/2,**,3-3,37.8,23.9,9,456(+8),,,,[西]飯田雄三,三宅勝俊,
11,4,7,スリーミニオン,牡4,56,三浦皇成,1:12.0,クビ,**,7-6,37.1,13.4,6,478(+2),,,,[東]柄崎孝,永井商事,
12,7,14,ティアップサンダー,牡7,57,柴田大知,1:12.1,3/4,**,14-14,36.2,92.6,13,490(+1),,,,[東]奥平雅士,田中昇,
13,6,12,サンデュランゴ,牝5,54,武藤雅,1:12.3,1.1/4,**,8-8,37.3,127.1,14,478(+4),,,,[東]蛯名利弘,加藤ステーブル,
14,5,9,ステラルーチェ,牡7,57,武士沢友,1:12.5,1,**,11-11,37.2,58.1,12,494(+2),,,,[東]蛯名利弘,池田草龍,
15,7,13,スマートダイバー,牡8,57,丹内祐次,1:12.5,クビ,**,12-13,36.9,271.3,16,490(-2),,,,[東]古賀史生,大川徹,
16,2,4,スフェーン,牡6,56,木幡巧也,1:12.5,ハナ,**,14-14,36.5,258.9,15,468(+4),,,,[東]小西一男,キャピタルクラブ,
