着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,16,ミモザイエロー,牝3,54,マーフィ,1:34.3,,**,5-5-3,35.8,9.3,3,448(+2),,,,[東]戸田博文,青芝商事,500.0
2,1,1,シングフォーユー,牝3,54,戸崎圭太,1:34.6,1.3/4,**,1-1-1,36.6,1.7,1,450(-2),,,,[東]牧光二,社台レースホース,200.0
3,2,4,パルスレート,牝3,54,田辺裕信,1:34.9,1.3/4,**,4-3-3,36.7,9.7,4,458(+2),,,,[東]久保田貴,キャロットファーム,130.0
4,1,2,エンジェルカナ,牝3,54,柴田大知,1:35.1,1.1/4,**,12-9-9,36.2,60.1,9,406(-2),,,,[東]高橋祥泰,ブルースターズファーム,75.0
5,8,15,エヌワイパフューム,牝3,54,津村明秀,1:35.3,1.1/2,**,12-13-12,35.7,17.0,6,506(-2),,,,[東]武井亮,サンアンドコム,50.0
6,5,9,ルクリリ,牝3,52,横山武史,1:35.5,1.1/2,**,2-2-2,37.4,37.0,8,450(+4),,,,[東]斎藤誠,菊地剛,
7,2,3,クイーンズテイスト,牝3,54,横山典弘,1:35.6,1/2,**,7-6-6,37.0,12.5,5,468(+6),,,,[東]菊沢隆徳,社台レースホース,
8,6,11,ジェイドパンニャー,牝3,54,菅原隆一,1:35.8,1.1/4,**,15-15-15,36.0,231.4,15,406(+14),,,,[東]小野次郎,福原晃,
9,7,14,カウムディー,牝3,51,山田敬士,1:35.8,クビ,**,12-13-14,36.2,75.0,10,474(+12),,,,[東]小桧山悟,加藤徹,
10,3,6,エタニティマリー,牝3,54,丸山元気,1:35.9,クビ,**,7-8-6,37.2,106.5,12,402(+2),,,,[東]根本康広,村島昭男,
11,3,5,ピュアデボーション,牝3,54,宮崎北斗,1:36.3,2.1/2,**,9-6-6,37.7,101.5,11,448(+4),,,,[東]高橋義博,サラブレッドクラブ・ラフィアン,
12,4,7,フロラシオン,牝3,54,三浦皇成,1:36.6,2,**,9-10-12,37.3,118.4,13,426(-4),,,,[東]国枝栄,サラブレッドクラブ・ラフィアン,
13,4,8,レディグレイ,牝3,54,ルメール,1:36.8,3/4,**,9-12-10,37.4,4.8,2,464(+6),,,,[東]宗像義忠,キャロットファーム,
14,7,13,ライトアップゼア,牝3,54,江田照男,1:37.0,1.1/4,**,2-3-3,38.7,35.7,7,446(-4),,,,[東]大江原哲,岡田牧雄,
15,6,12,オリアナフィオーレ,牝3,54,丹内祐次,1:37.0,ハナ,**,5-10-10,37.7,222.1,14,422(+2),,,,[東]高橋祥泰,サラブレッドクラブ・ラフィアン,
16,5,10,ヒバナ,牝3,51,木幡育也,1:37.2,1.1/2,**,16-16-16,37.0,251.2,16,426(-6),,,,[東]杉浦宏昭,山岸桂市,
