着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,15,レオンドーロ,牝3,54,柴田大知,2:02.5,,**,3-3-2-2,35.6,3.6,3,450(0),,,,[東]栗田博憲,ビッグレッドファーム,500.0
2,7,13,サトノエルドール,牡3,56,マーフィ,2:02.5,クビ,**,8-8-9-5,35.0,2.9,1,468(+2),,,,[東]国枝栄,サトミホースカンパニー,200.0
3,2,4,ホウオウビクトリー,牡3,56,大野拓弥,2:02.7,1,**,12-14-4-2,35.7,8.1,4,468(+4),,,,[東]斎藤誠,小笹芳央,130.0
4,7,14,エターナルヴィテス,牡3,56,田中勝春,2:02.8,クビ,**,2-2-2-1,35.9,29.5,7,460(-2),,,,[東]松山将樹,永井廣司,75.0
5,5,9,トーセンオリンピア,牡3,56,内田博幸,2:03.0,1.1/4,**,16-16-14-13,34.8,23.4,6,490(-6),,,,[東]池上昌和,島川隆哉,50.0
6,5,10,カミノシルヴィ,牝3,54,西田雄一,2:03.1,3/4,**,8-8-12-11,35.4,23.1,5,440(-6),,,,[東]浅野洋一,村上正喜,
7,6,12,ストームリッパー,牡3,56,ルメール,2:03.2,クビ,**,10-10-8-8,35.9,3.5,2,514(+6),,,,[東]鹿戸雄一,吉田勝己,
8,8,16,エコロドリーム,牡3,55,木幡巧也,2:03.3,1/2,**,5-5-6-5,36.1,38.9,9,480(+10),,,,[東]岩戸孝樹,原村正紀,
9,2,3,タイセイアヴァンセ,牝3,54,北村宏司,2:03.4,3/4,**,5-5-9-9,35.9,53.1,10,422(-2),,,,[東]青木孝文,田中成奉,
10,3,6,アメリオラシオン,牝3,54,丹内祐次,2:03.5,クビ,**,3-3-4-5,36.4,282.9,14,464(0),,,,[東]鹿戸雄一,サラブレッドクラブ・ラフィアン,
11,6,11,アドマイヤクロス,牡3,56,田辺裕信,2:03.6,1/2,**,14-12-11-11,36.0,61.5,11,484(+8),,,,[東]上原博之,近藤利一,
12,1,1,エンジェルズライン,牝3,54,江田照男,2:04.5,5,**,13-12-13-14,36.7,215.5,13,434(-4),,,,[東]田中剛,島井新一郎,
13,3,5,マリノオークション,牝3,54,柴田善臣,2:05.2,4,**,5-5-6-9,38.0,159.3,12,480(+4),,,,[東]牧光二,矢野まり子,
14,4,7,マジックパフォーム,牝3,53,木幡初也,2:05.4,1.1/4,**,1-1-1-4,38.6,36.3,8,442(-8),,,,[東]高橋祥泰,鈴木芳夫,
15,4,8,アンブラッスマン,牡3,53,山田敬士,2:05.5,1/2,**,10-10-14-14,37.3,331.0,15,508(+12),,,,[東]小桧山悟,柴原榮,
16,1,2,ミスターバトルマン,牡3,56,的場勇人,2:05.7,3/4,**,15-15-16-16,37.4,405.7,16,454(+16),,,,[東]的場均,西本資史,
