着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,7,ドーヴァー,牡6,56,田辺裕信,1:32.4,,**,8-8-7,34.6,6.8,3,506(+8),,,,[東]伊藤圭三,ゴドルフィン,"2,530.1"
2,7,12,キャプテンペリー,セ6,56,大野拓弥,1:32.9,3,**,10-9-9,34.9,5.7,2,504(+6),,,,[東]岩戸孝樹,千明牧場,"1,008.6"
3,8,13,ミュゼエイリアン,セ7,57,ブロンデ,1:32.9,クビ,**,4-4-4,36.0,160.0,13,492(+12),,,,[東]黒岩陽一,菊地祐司,634.3
4,6,9,テオドール,セ6,56,マーフィ,1:32.9,ハナ,**,13-12-11,34.7,7.5,4,548(-4),,,,[東]国枝栄,サンデーレーシング,380.0
5,6,10,ハーレムライン,牝4,53,柴田善臣,1:33.0,1/2,**,2-2-2,36.3,19.6,7,472(-2),,,,[東]田中清隆,吉田千津,250.0
6,3,3,サーブルオール,牡6,56,ルメール,1:33.1,1/2,**,10-9-9,35.1,2.3,1,490(+2),,,,[東]萩原清,キャロットファーム,
7,8,14,ストーミーシー,牡6,56,杉原誠人,1:33.1,ハナ,**,10-13-12,34.6,32.7,9,534(0),,,,[東]斎藤誠,ミルファーム,
8,2,2,ウインファビラス,牝6,54,柴田大知,1:33.1,クビ,**,4-5-5,35.7,23.5,8,480(+2),,,,[東]畠山吉宏,ウイン,
9,1,1,ダイワリベラル,牡8,57,木幡巧也,1:33.2,クビ,**,7-7-7,35.5,117.6,12,540(-2),,,,[東]菊沢隆徳,大城敬三,
10,4,6,ショウナンアンセム,牡6,57,吉田隼人,1:33.2,クビ,**,2-2-3,36.4,7.8,5,488(+2),,,,[東]田中剛,湘南,
11,3,4,ワンスインナムーン,牝6,56,戸崎圭太,1:33.5,1.3/4,**,1-1-1,37.3,13.1,6,454(+4),,,,[東]斎藤誠,諸江幸祐,
12,4,5,ロジチャリス,牡7,57,蛯名正義,1:33.8,1.3/4,**,6-5-5,36.4,87.5,11,548(-10),,,,[東]国枝栄,久米田正明,
13,7,11,クロスケ,牡4,55,三浦皇成,1:34.2,2.1/2,**,13-14-14,35.5,40.0,10,456(-7),,,,[東]水野貴広,助川啓一,
14,5,8,カフェリュウジン,牡9,56,丸山元気,1:34.7,3,**,8-9-12,36.7,257.1,14,544(+12),,,,[東]和田雄二,西川恭子,
