着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,1,1,シゲルスピネル,牝3,54,江田照男,1:13.6,,**,1-1,39.2,3.3,1,446(+2),,,,[東]和田勇介,森中蕃,500.0
2,3,6,タマモキャペリン,牝3,53,武藤雅,1:13.6,ハナ,**,11-10,38.4,16.6,6,456(+4),,,,[東]水野貴広,タマモ,200.0
3,5,9,クリスタルアワード,牝3,54,戸崎圭太,1:13.7,1/2,**,4-4,39.1,3.4,2,452(0),,,,[東]伊藤圭三,ノルマンディーサラブレッドレーシング,130.0
4,8,15,チェンマイルージュ,牝3,54,三浦皇成,1:14.0,1.3/4,**,4-6,39.3,5.7,3,456(+4),,,,[東]田村康仁,ディアレストクラブ,75.0
5,7,13,ノーブルフューチャ,牝3,54,勝浦正樹,1:14.0,クビ,**,7-6,39.2,12.7,5,452(+2),,,,[東]高柳瑞樹,吉木伸彦,50.0
6,6,12,オトリコミチュウ,牝3,54,菱田裕二,1:14.2,3/4,**,9-8,39.3,24.8,8,444(+6),,,,[東]奥平雅士,内田玄祥,
7,6,11,ツウカイステラ,牝3,54,柴田善臣,1:14.5,1.3/4,**,9-8,39.6,36.7,10,458(-4),,,,[東]小笠倫弘,木村直樹,
8,8,16,シャンテ,牝3,53,藤田菜七,1:14.5,アタマ,**,11-10,39.3,21.7,7,436(0),,,,[東]大江原哲,平本敏夫,
9,5,10,イチゴチャン,牝3,54,横山典弘,1:14.5,クビ,**,15-16,38.6,97.4,13,418(-6),,,,[東]金成貴史,大冨智弘,
10,1,2,ゴーインピース,牝3,54,石橋脩,1:14.5,ハナ,**,2-2,40.0,37.2,11,436(-4),,,,[東]手塚貴久,下河邉行雄,
11,4,8,ローブドール,牝3,54,柴山雄一,1:14.8,1.3/4,**,2-2,40.3,95.9,12,432(0),,,,[東]和田雄二,ローレルレーシング,
12,2,4,アラニ,牝3,54,北村宏司,1:14.8,クビ,**,7-10,40.0,110.4,14,466(+18),,,,[東]佐藤吉勝,平本敏夫,
13,2,3,ヤマニングレナデン,牝3,54,柴田大知,1:14.9,クビ,**,11-10,39.7,293.5,16,454(0),,,,[東]蛯名利弘,土井肇,
14,4,7,ミコノホマレ,牝3,54,田辺裕信,1:15.1,1.1/4,**,15-14,39.3,35.5,9,526(+16),,,,[東]尾形和幸,古賀慎一,
15,7,14,クリスタルニキータ,牝3,54,内田博幸,1:15.6,3,**,14-14,39.9,113.3,15,458(+10),,,,[東]上原博之,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,
16,3,5,ビューティーコパ,牝3,54,ミナリク,1:15.7,クビ,**,4-4,41.0,7.4,4,478(+10),,,,[東]加藤征弘,小林祥晃,
