着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,9,サニークラウド,牡3,56,マーフィ,1:12.9,,**,2-1,38.5,3.9,2,500(+14),,,,[東]牧光二,高嶋祐子,500.0
2,7,14,リゼ,牝3,52,横山武史,1:13.0,1/2,**,3-3,38.3,76.2,11,448(+10),,,,[東]田中清隆,榊原浩一,200.0
3,5,10,ジョガールボニート,牡3,56,石川裕紀,1:13.2,1.1/4,**,6-6,38.2,5.6,3,454(+6),,,,[東]相沢郁,高瀬真尚,130.0
4,3,6,ステイホット,牝3,54,大野拓弥,1:13.2,アタマ,**,4-4,38.4,2.4,1,474(-2),,,,[東]杉浦宏昭,小林善一,75.0
5,4,8,セイウンクロノス,牡3,56,内田博幸,1:13.4,1.1/4,**,14-14,37.7,11.8,5,438(+4),,,,[東]奥平雅士,西山茂行,50.0
6,7,13,シゲルホタルイシ,牡3,55,武藤雅,1:13.4,クビ,**,6-6,38.3,8.0,4,482(0),,,,[東]水野貴広,森中蕃,
7,8,16,ロンリーウェイ,牡3,55,井上敏樹,1:13.5,クビ,**,11-11,38.1,25.1,7,476(+6),,,,[東]田島俊明,小原準一郎,
8,8,15,ヴォルターウルフ,牡3,55,木幡巧也,1:13.9,2.1/2,**,4-4,39.1,78.6,12,492(+10),,,,[東]上原博之,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,
9,2,4,セイウンメラビリア,牝3,54,村田一誠,1:14.3,2.1/2,**,8-8,39.1,299.7,15,466(+10),,,,[東]中舘英二,西山茂行,
10,1,1,サトノジョニー,牡3,56,松岡正海,1:14.3,アタマ,**,9-9,39.0,40.3,9,512(+30),,,,[東]田中剛,サトミホースカンパニー,
11,6,12,コーリンベイダー,牡3,56,丹内祐次,1:14.4,クビ,**,9-9,39.1,271.4,13,484(+6),,,,[東]柴田政人,伊藤恵介,
12,3,5,サバイバルトリック,牝3,51,野中悠太,1:14.4,クビ,**,11-11,39.0,26.7,8,450(-2),,,,[東]根本康広,福田光博,
13,4,7,ボルンタード,牡3,56,戸崎圭太,1:14.5,クビ,**,1-2,40.1,20.1,6,468(+4),,,,[東]高橋義博,西森鶴,
14,6,11,フレンドリボン,牝3,53,藤田菜七,1:14.6,3/4,**,16-16,38.7,71.3,10,444(+12),,,,[東]南田美知,横尾晴人,
15,2,3,ギュウホ,牡3,56,杉原誠人,1:15.1,3,**,14-14,39.4,283.1,14,444(+8),,,,[東]田中清隆,ミルファーム,
16,1,2,ツギノイッテ,牡3,56,西田雄一,1:15.7,3.1/2,**,11-11,40.3,340.9,16,464(+8),,,,[東]天間昭一,西村新一郎,
