着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,6,11,ルフトシュトローム,牡3,56,石橋脩,1:33.0,,**,11-12-10,34.2,4.6,2,482(-4),,,,[東]堀宣行,サンデーレーシング,"5,514.8"
2,7,14,シーズンズギフト,牝3,54,津村明秀,1:33.1,1/2,**,13-9-7,34.5,7.2,5,472(-2),,,,[東]黒岩陽一,キャロットファーム,"2,232.8"
3,8,16,ウイングレイテスト,牡3,56,横山武史,1:33.1,クビ,**,11-12-10,34.3,13.8,7,490(+4),,,,[東]青木孝文,ウイン,"1,416.4"
4,6,12,アブソルティスモ,牡3,56,北村宏司,1:33.5,2.1/2,**,6-5-4,35.4,26.3,9,500(+2),,,,[東]藤沢和雄,キャロットファーム,810.0
5,4,7,ソウルトレイン,牡3,56,田辺裕信,1:33.5,アタマ,**,4-5-4,35.4,15.5,8,464(+2),,,,[西]西村真幸,安原浩司,540.0
6,5,10,ハーモニーマゼラン,牡3,56,大野拓弥,1:33.6,3/4,**,2-2-2,35.8,6.2,3,516(0),,,,[東]牧光二,日下部勝徳,
7,5,9,オーロラフラッシュ,牝3,54,ルメール,1:33.8,1.1/2,**,10-9-10,35.2,4.3,1,456(+8),,,,[東]藤沢和雄,嶋田賢,
8,4,8,コウソクスピード,牡3,56,丸山元気,1:34.0,1,**,7-7-7,35.7,77.1,12,518(-2),,,,[東]中舘英二,野崎昭夫,
9,8,15,グレイトホーン,牡3,56,野中悠太,1:34.2,1.1/4,**,14-14-14,35.2,429.3,16,480(+2),,,,[東]根本康広,犬塚悠治郎,
10,2,3,マイネルグリット,牡3,56,国分優作,1:34.4,1.1/4,**,4-4-4,36.5,68.7,11,488(-4),,,,[西]吉田直弘,サラブレッドクラブ・ラフィアン,
11,7,13,シャチ,牡3,56,山田敬士,1:34.6,1.1/4,**,16-16-16,35.0,102.4,13,456(-2),,,,[東]小桧山悟,中村勝彦,
12,2,4,フルートフルデイズ,牝3,54,木幡巧也,1:34.7,1/2,**,9-7-9,36.3,377.0,15,456(+10),,,,[西]浜田多実,飯田正剛,
13,1,2,カリオストロ,牝3,54,ヒューイ,1:34.7,クビ,**,1-1-1,37.1,7.0,4,454(-4),,,,[西]加用正,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,
14,3,6,ソングオブザハート,牝3,54,川又賢治,1:35.1,2.1/2,**,14-14-14,36.1,150.7,14,410(-2),,,,[西]寺島良,幅田昌伸,
15,3,5,ペールエール,牡3,56,北村友一,1:35.1,ハナ,**,7-9-13,36.5,8.5,6,506(+14),,,,[西]安田隆行,林正道,
16,1,1,カフェサンドリヨン,牝3,54,内田博幸,1:35.1,クビ,**,2-2-2,37.3,41.7,10,462(0),,,,[東]古賀慎明,西川光一,
