着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,3,5,キングオブコージ,牡4,55,横山典弘,2:13.6,,**,5-4-4-3,33.7,3.6,1,490(0),,,,[西]安田翔伍,増田和啓,"1,857.1"
2,4,7,レッドアステル,牝4,53,ヒューイ,2:14.0,2.1/2,**,2-2-2-2,34.4,5.2,2,434(0),,,,[東]国枝栄,東京ホースレーシング,740.6
3,8,16,エアジーン,牝4,53,大野拓弥,2:14.2,1.1/2,**,10-9-8-6,34.1,5.8,3,450(-4),,,,[東]堀宣行,ラッキーフィールド,465.3
4,8,17,イェッツト,牡5,56,Ｍ．デム,2:14.4,1.1/2,**,13-13-10-9,34.1,6.5,4,478(-4),,,,[東]金成貴史,近藤英子,270.0
5,5,10,ゴールドギア,牡5,55,三浦皇成,2:14.5,3/4,**,17-17-17-14,33.6,10.5,5,484(0),,,,[東]伊藤圭三,有馬博文,182.0
6,6,12,アーデントリー,牡4,54,石川裕紀,2:14.5,ハナ,**,3-4-3-3,34.7,41.6,13,452(0),,,,[西]川村禎彦,巴山尊文,
7,2,3,ナイママ,牡4,55,柴田大知,2:14.6,1/2,**,11-9-10-10,34.2,16.1,7,478(-2),,,,[東]武藤善則,岡田繁幸,
7,7,14,ヴァンケドミンゴ,牡4,55,田辺裕信,2:14.6,同着,**,12-12-14-14,33.9,21.4,8,466(0),,,,[西]藤岡健一,幅田昌伸,
9,8,15,バリングラ,セ6,56,石橋脩,2:14.6,ハナ,**,8-9-12-13,34.1,29.6,10,544(+8),,,,[東]堀宣行,キャロットファーム,
10,1,2,ヴィッセン,牡9,55,坂井瑠星,2:14.7,クビ,**,1-1-1-1,35.4,14.8,6,482(-12),,,,[西]斉藤崇史,シルクレーシング,
11,3,6,ウィナーポイント,牝5,51,江田照男,2:14.8,3/4,**,14-14-12-10,34.2,27.3,9,432(+2),,,,[東]和田勇介,岡田牧雄,
12,5,9,ネイビーブルー,牡7,53,藤田菜七,2:14.8,アタマ,**,5-6-6-5,34.8,172.6,16,514(-2),,,,[東]戸田博文,青芝商事,
13,4,8,パルクデラモール,牝5,52,横山武史,2:15.0,1,**,15-15-14-14,34.3,32.2,11,462(-4),,,,[東]鹿戸雄一,Ｇ１レーシング,
14,6,11,グランドサッシュ,牡9,53,津村明秀,2:15.1,3/4,**,8-6-6-6,35.1,176.9,17,474(+2),,,,[東]武市康男,シルクレーシング,
15,7,13,フィールインラヴ,牡5,55,松山弘平,2:15.1,ハナ,**,15-15-14-14,34.4,50.3,14,452(-4),,,,[西]浅見秀一,大塚亮一,
16,1,1,ステイパーシスト,セ7,53,吉田豊,2:15.5,2.1/2,**,7-6-8-10,35.4,148.9,15,424(-10),,,,[東]尾関知人,吉田照哉,
17,2,4,バイオレントブロー,セ5,55,中谷雄太,2:15.6,3/4,**,3-2-4-6,35.7,35.9,12,474(-6),,,,[西]佐々木晶,キャロットファーム,
