着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,4,8,ゴロンドリーナ,牝3,54,内田博幸,1:13.2,,**,12-11,37.1,6.6,3,464(+2),,,,[東]青木孝文,吉田和美,500.0
2,5,10,ヴィーダ,牡3,54,藤田菜七,1:13.2,クビ,**,5-8,37.7,3.7,2,428(+6),,,,[東]清水英克,中村広樹,200.0
3,3,6,ハービーボンズ,牡3,56,吉田隼人,1:13.6,2,**,10-5,37.8,67.1,11,432(-4),,,,[東]中川公成,多田賢司,130.0
4,6,12,ユウキャン,牝3,54,蛯名正義,1:13.6,ハナ,**,9-11,38.0,11.9,6,452(0),,,,[東]田中剛,道永幸治,75.0
5,1,2,スマートフォース,牡3,56,江田照男,1:13.8,1.1/4,**,5-5,38.3,126.3,14,508(+6),,,,[東]粕谷昌央,大川徹,50.0
6,7,14,キャルファースト,牡3,56,三浦皇成,1:13.8,アタマ,**,13-13,37.4,114.1,13,458(-2),,,,[東]萩原清,里見治紀,
7,3,5,バスクインザサン,牝3,54,田辺裕信,1:13.8,アタマ,**,5-5,38.3,8.5,4,514(-2),,,,[東]大竹正博,Ｇ１レーシング,
8,2,3,コハルチャン,牝3,54,丸山元気,1:13.8,ハナ,**,15-14,37.1,95.3,12,440(+4),,,,[東]土田稔,二口雅一,
9,8,15,グラチダオン,牡3,56,柴田大知,1:13.9,1/2,**,5-8,38.4,17.1,8,500(+2),,,,[東]伊藤大士,酒井牧場,
10,7,13,ルリエフ,牝3,54,大野拓弥,1:14.4,3,**,4-3,39.0,11.2,5,482(+6),,,,[東]竹内正洋,菅井牧場,
11,1,1,ユーリトミクス,牝3,54,ルメール,1:14.8,2.1/2,**,2-1,39.6,3.3,1,464(-6),,,,[東]加藤征弘,Ｇ１レーシング,
12,8,16,トーセンジャスパー,牝3,54,西田雄一,1:15.1,2,**,1-2,39.9,12.5,7,480(+22),,,,[東]古賀史生,島川隆哉,
13,5,9,トーアクリスティー,牝3,51,木幡育也,1:15.3,1.1/4,**,13-15,38.9,182.2,15,398(+8),,,,[東]柴田政人,高山ランド,
14,6,11,ホウオウシャロン,牝3,53,木幡巧也,1:15.4,3/4,**,10-10,39.6,260.3,16,490(0),,,,[東]牧光二,小笹芳央,
15,4,7,エボニーマーブル,牡3,54,横山武史,1:15.6,1.1/4,**,2-3,40.3,52.8,10,468(+6),,,,[東]萩原清,金子真人ホールディングス,
16,2,4,ブライティアシップ,牝3,54,武士沢友,1:16.5,5,**,15-16,39.7,28.2,9,432(-6),,,,[東]伊藤正徳,小林昌志,
