着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,3,5,ケンデューク,牡2,54,田辺裕信,1:09.8,,**,5-5,35.3,4.2,1,422(0),,,,[東]久保田貴,中西健,700.0
2,1,1,バカラクイーン,牝2,54,蛯名正義,1:09.8,クビ,**,1-1,35.9,5.5,3,452(0),,,,[東]武井亮,黒川弘,280.0
3,3,6,エタニティマリー,牝2,54,丸山元気,1:10.2,2.1/2,**,10-9,35.1,97.2,13,398(0),,,,[東]根本康広,村島昭男,180.0
4,1,2,フルクトゥス,牡2,54,杉原誠人,1:10.6,2.1/2,**,7-7,35.7,71.0,11,454(0),,,,[東]的場均,ミルファーム,110.0
5,5,10,ヴィクトリアポデル,牡2,54,岩田康誠,1:10.7,1/2,**,4-3,36.4,8.7,5,494(0),,,,[東]杉浦宏昭,西村憲人,70.0
6,2,3,コーラル,牝2,53,武藤雅,1:10.7,アタマ,**,5-6,36.1,40.9,9,422(0),,,,[東]田島俊明,鈴木美江子,
7,6,12,ローゼンオルデン,牝2,52,菊沢一樹,1:10.7,クビ,**,7-8,35.8,4.6,2,420(0),,,,[東]林徹,宮川保,
8,6,11,ショウナンカンザシ,牝2,54,松岡正海,1:10.7,ハナ,**,3-3,36.5,5.8,4,456(0),,,,[東]大竹正博,国本哲秀,
9,4,8,クリノテバク,牝2,51,山田敬士,1:11.2,3,**,2-2,37.3,32.8,8,410(0),,,,[東]高市圭二,栗本博晴,
10,7,14,グランエスタード,牡2,52,藤田菜七,1:11.2,クビ,**,9-9,36.2,9.3,6,424(0),,,,[東]根本康広,星野祐介,
11,5,9,ニットウヴィクスン,牝2,54,丹内祐次,1:11.3,1/2,**,15-14,34.5,164.7,15,424(0),,,,[東]小桧山悟,藤井謙,
12,8,16,チームパシュート,牡2,51,木幡育也,1:11.6,2,**,12-12,35.7,110.0,14,434(0),,,,[東]青木孝文,井山登,
13,2,4,マイネルロングラン,牡2,54,柴田大知,1:11.7,1/2,**,11-11,36.4,30.7,7,496(0),,,,[東]金成貴史,サラブレッドクラブ・ラフィアン,
14,7,13,セイウンティアラ,牝2,54,江田照男,1:11.8,1/2,**,12-12,35.9,57.4,10,404(0),,,,[東]竹内正洋,西山茂行,
15,8,15,プエブラ,牝2,54,西田雄一,1:12.8,6,**,14-14,36.4,77.5,12,432(0),,,,[東]岩戸孝樹,清水敏,
16,4,7,クリノアマテラス,牝2,54,嶋田純次,1:14.3,9,**,16-16,37.0,191.6,16,428(0),,,,[東]星野忍,栗本守,
