着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,6,12,ケイゴールド,牝2,54,戸崎圭太,1:12.7,,**,8-8,37.7,4.3,2,476(+2),,,,[東]中野栄治,友水達也,500.0
2,1,2,セイスピカ,牝2,54,三浦皇成,1:13.1,2.1/2,**,9-9,37.8,9.0,4,424(-4),,,,[東]中川公成,金田成基,200.0
3,2,3,フレッシュスマイル,牝2,54,内田博幸,1:13.2,3/4,**,1-1,39.3,2.8,1,458(+6),,,,[東]勢司和浩,坪野谷和平,130.0
4,6,11,エリーバラード,牝2,52,菊沢一樹,1:13.4,1.1/4,**,4-4,39.0,4.8,3,492(-2),,,,[東]菊沢隆徳,谷川正純,75.0
5,3,6,ファロ,牝2,54,田中勝春,1:13.5,1/2,**,2-2,39.5,20.0,7,472(+14),,,,[東]和田勇介,三嶋牧場,50.0
6,5,10,シゲルアコヤガイ,牝2,53,武藤雅,1:13.6,3/4,**,5-5,38.8,19.4,6,442(0),,,,[東]水野貴広,森中蕃,
7,4,8,ニシノビアンカ,牝2,54,大野拓弥,1:13.9,1.3/4,**,11-10,38.2,14.6,5,452(-2),,,,[東]杉浦宏昭,西山茂行,
8,8,16,カガコルヴェヤ,牝2,54,武士沢友,1:13.9,クビ,**,10-10,38.4,25.2,8,432(+2),,,,[東]高市圭二,香川憲次,
9,2,4,シュンラン,牝2,51,山田敬士,1:14.0,クビ,**,5-5,39.2,71.1,11,430(+4),,,,[東]小桧山悟,中村勝彦,
10,7,13,エスワイロビン,牝2,53,木幡巧也,1:14.2,1.1/4,**,12-12,38.3,150.3,14,434(-2),,,,[東]和田勇介,吉岡泰治,
11,8,15,アラニ,牝2,51,木幡育也,1:14.3,1/2,**,3-3,40.1,64.2,10,448(-14),,,,[東]佐藤吉勝,平本敏夫,
12,1,1,シットリ,牝2,54,松岡正海,1:15.1,5,**,5-5,40.4,165.5,15,484(+4),,,,[東]伊藤伸一,ミルファーム,
13,3,5,ランペドゥーザ,牝2,54,嶋田純次,1:16.3,7,**,14-14,38.6,140.8,13,472(0),,,,[東]高市圭二,ミルファーム,
14,5,9,カイラーサナータ,牝2,54,西田雄一,1:17.9,10,**,12-13,42.0,288.8,16,472(-2),,,,[東]田中剛,ミルファーム,
15,7,14,ナミノハナ,牝2,52,藤田菜七,1:18.5,3.1/2,**,15-15,39.4,45.3,9,408(-4),,,,[東]伊藤正徳,大久保與志雄,
16,4,7,シゲルルビー,牝2,52,横山武史,1:19.7,7,**,16-16,40.3,117.5,12,460(+6),,,,[東]伊藤圭三,森中蕃,
