着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,9,フィルムフェスト,牝2,54,ルメール,1:10.3,,**,6-5,34.8,2.3,1,436(0),,,,[東]尾関知人,キャロットファーム,700.0
2,8,16,ヴァッシュモン,牡2,54,川田将雅,1:10.7,2.1/2,**,8-8,35.1,3.6,2,440(0),,,,[東]栗田徹,山口功一郎,280.0
3,3,5,パリテソーロ,牝2,54,田辺裕信,1:11.3,3.1/2,**,2-1,36.2,12.0,4,442(0),,,,[東]金成貴史,了徳寺健二ホールディングス,180.0
4,4,7,テンノウザン,牡2,54,田中勝春,1:11.3,クビ,**,3-3,36.0,13.7,5,464(0),,,,[東]宗像義忠,長谷川清英,110.0
5,1,1,タンレイ,牝2,54,石川裕紀,1:11.5,1.1/4,**,4-5,36.1,33.5,8,436(0),,,,[東]伊藤大士,佐久間拓士,70.0
6,7,14,マーヴェラスロード,牡2,54,三浦皇成,1:11.6,クビ,**,9-8,35.8,6.0,3,474(0),,,,[東]鹿戸雄一,山本又一郎,
7,8,15,フルオブドリームズ,牝2,54,大野拓弥,1:11.6,クビ,**,6-5,36.1,23.4,7,436(0),,,,[東]高木登,岡田牧雄,
8,3,6,チルノ,牝2,54,伊藤工真,1:11.8,1.1/2,**,11-11,34.9,100.1,9,420(0),,,,[東]金成貴史,レッドマジック,
9,1,2,オールミラージュ,牡2,54,宮崎北斗,1:12.3,3,**,1-2,37.2,267.8,14,436(0),,,,[東]伊藤正徳,田頭勇貴,
10,6,12,ヤエノヒカリ,牝2,54,西田雄一,1:12.4,3/4,**,4-3,37.0,114.1,10,444(0),,,,[東]清水英克,柳田英子,
11,2,3,バースデーバッシュ,牝2,51,山田敬士,1:12.7,1.1/2,**,10-10,36.4,248.8,13,424(0),,,,[東]清水英克,田頭勇貴,
12,4,8,オルエン,牝2,54,岩部純二,1:12.9,1.1/4,**,13-13,35.7,183.3,12,442(0),,,,[東]石栗龍彦,松谷翔太,
13,7,13,ベニハルカ,牝2,54,柴田大知,1:13.5,3.1/2,**,14-13,36.2,302.7,15,420(0),,,,[東]石毛善彦,桐谷茂,
14,6,11,スミレヴィオレッタ,牝2,54,柴山雄一,1:13.7,1.1/4,**,12-12,36.7,142.9,11,496(0),,,,[東]青木孝文,ライオンレースホース,
15,5,10,ヴァニラ,牝2,52,藤田菜七,1:13.9,1.1/4,**,16-15,36.0,22.3,6,466(0),,,,[東]大竹正博,桑畑隆信,
16,2,4,サフランビーナス,牝2,54,的場勇人,1:13.9,クビ,**,14-16,36.6,328.3,16,422(0),,,,[東]高橋義博,海原聖一,
