着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,6,7,ダイシンインディー,牡2,54,ルメール,1:53.8,,**,1-1-1-1,38.4,1.7,1,530(0),,,,[東]戸田博文,大八木信行,500.0
2,2,2,オリオンパッチ,牡2,54,Ｍ．デム,1:54.9,7,**,3-3-3-3,39.1,5.8,3,484(+4),,,,[東]加藤征弘,陳立文,200.0
3,4,4,ミッキーポテト,牡2,54,横山典弘,1:56.4,9,**,11-10-9-6,38.8,16.5,4,514(-8),,,,[東]菊沢隆徳,野田みづき,130.0
4,8,12,アンジェリーブル,牝2,54,三浦皇成,1:56.8,2.1/2,**,2-2-2-2,41.3,4.0,2,432(-2),,,,[東]藤原辰雄,グランド牧場,75.0
5,5,6,アミュリオン,牡2,54,黛弘人,1:57.2,2.1/2,**,6-5-5-5,40.7,196.7,10,446(+2),,,,[東]藤原辰雄,吉澤克己,50.0
6,1,1,コスモハヤテ,牡2,54,柴田大知,1:57.8,3.1/2,**,12-12-10-10,39.9,233.0,11,446(+2),,,,[東]小野次郎,ビッグレッドファーム,
7,7,9,ジェミーウェイ,牝2,54,田辺裕信,1:58.3,3,**,7-5-4-4,42.1,47.4,6,458(0),,,,[東]伊藤圭三,ヒダカ・ブリーダーズ・ユニオン,
8,5,5,キタサンルージュ,牝2,54,北村宏司,1:58.8,3,**,9-9-10-11,40.9,16.7,5,474(+8),,,,[東]奥村武,大野商事,
9,7,10,トーセンジルコン,牝2,54,岩部純二,1:59.2,2.1/2,**,8-8-8-6,42.0,68.4,7,470(+4),,,,[東]萱野浩二,島川隆哉,
10,3,3,ムーンレット,牝2,54,杉原誠人,2:02.1,大,**,5-5-6-8,45.4,121.2,9,484(+20),,,,[東]尾関知人,ミルファーム,
11,6,8,カシノメルシー,牝2,51,山田敬士,2:02.1,アタマ,**,10-10-10-12,44.2,239.7,12,474(-2),,,,[東]蛯名利弘,柏木務,
12,8,11,インスタントカーマ,牡2,54,津村明秀,2:04.4,大,**,3-3-6-8,47.7,87.2,8,490(+6),,,,[東]武市康男,薪浦亨,
