着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,11,ドレッドノータス,セ5,57,石橋脩,2:00.0,,**,1-1-1-1,34.5,16.1,7,450(-8),,,,[西]矢作芳人,キャロットファーム,"1,845.2"
2,4,4,シャルドネゴールド,牡3,54,内田博幸,2:00.5,3,**,7-9-8-6,34.1,3.0,1,450(+4),,,,[西]池江泰寿,青芝商事,737.2
3,2,2,ギブアンドテイク,セ7,57,松岡正海,2:00.6,1/2,**,3-3-3-2,34.8,15.9,6,474(+4),,,,[東]鹿戸雄一,嶋田賢,463.6
4,6,8,ショウナンマルシェ,セ7,57,三浦皇成,2:00.8,1.1/4,**,2-2-2-3,35.1,60.7,8,474(+4),,,,[東]和田勇介,国本哲秀,270.0
5,5,6,アウトライアーズ,牡4,57,田辺裕信,2:00.8,ハナ,**,11-11-12-12,34.1,5.4,3,496(-6),,,,[東]小島茂之,丸山担,182.0
6,7,9,レッドローゼス,牡4,57,蛯名正義,2:00.9,3/4,**,7-10-10-10,34.4,3.4,2,476(0),,,,[東]国枝栄,東京ホースレーシング,
7,8,12,アッフィラート,牝5,55,北村宏司,2:00.9,アタマ,**,6-6-5-6,34.8,8.4,5,434(-4),,,,[西]藤原英昭,社台レースホース,
8,1,1,サトノグラン,牡4,57,戸崎圭太,2:01.0,1/2,**,7-7-5-4,34.9,6.0,4,492(+10),,,,[西]矢作芳人,サトミホースカンパニー,
9,5,5,ワールドレーヴ,牡8,57,柴山雄一,2:01.2,1,**,12-11-10-9,34.7,166.3,10,468(-2),,,,[東]鹿戸雄一,嶋田賢,
10,7,10,トレクァルティスタ,セ7,57,杉原誠人,2:01.3,1/2,**,7-7-8-10,35.0,140.0,9,490(-2),,,,[東]藤沢和雄,サンデーレーシング,
11,3,3,エリモジパング,牡8,57,黛弘人,2:01.3,クビ,**,5-4-5-4,35.2,276.4,12,458(-2),,,,[東]中野栄治,山本三津子,
12,6,7,デルマサリーチャン,牝7,55,武士沢友,2:01.5,1.1/2,**,4-4-3-6,35.6,268.2,11,494(-8),,,,[東]堀井雅広,浅沼廣幸,
