着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,3,6,オトナノジジョウ,牝2,54,三浦皇成,1:36.6,,**,1-1-1,35.1,72.8,8,442(0),,,,[西]森秀行,内田玄祥,700.0
2,1,1,ココフィーユ,牝2,54,岩田康誠,1:36.6,クビ,**,3-4-5,34.8,20.0,5,436(0),,,,[東]斎藤誠,Ｓｈａｄｏｗ,280.0
3,8,16,キャルスカイ,牝2,54,石橋脩,1:36.9,1.1/2,**,6-4-2,35.0,26.6,7,408(0),,,,[東]古賀慎明,里見治紀,180.0
4,7,13,パルスレート,牝2,54,大野拓弥,1:36.9,クビ,**,7-9-9,34.7,4.9,3,466(0),,,,[東]久保田貴,キャロットファーム,110.0
5,1,2,オーキッドテソーロ,牝2,54,石川裕紀,1:37.1,1,**,7-7-8,35.0,17.8,4,414(0),,,,[西]矢作芳人,了徳寺健二ホールディングス,70.0
6,4,7,ミユキアストラーレ,牝2,54,的場勇人,1:37.2,1/2,**,2-2-2,35.5,135.8,10,470(0),,,,[東]的場均,長井純一,
7,8,15,ニシノモエ,牝2,54,勝浦正樹,1:37.4,1.1/4,**,4-6-6,35.4,180.2,12,428(0),,,,[東]小西一男,西山茂行,
8,4,8,ハツセ,牝2,54,戸崎圭太,1:37.5,1/2,**,13-12-11,34.9,22.6,6,476(0),,,,[東]田島俊明,林弘之,
9,3,5,サトノルミナス,牝2,54,モレイラ,1:37.6,1/2,**,13-14-13,34.9,2.1,1,464(0),,,,[東]国枝栄,サトミホースカンパニー,
10,6,12,ワディアルヒタン,牝2,54,内田博幸,1:37.6,ハナ,**,9-7-6,35.5,3.7,2,442(0),,,,[東]田村康仁,平井裕,
11,7,14,ダンクフェスト,牝2,54,柴田大知,1:37.9,1.3/4,**,4-2-2,36.2,361.8,16,416(0),,,,[東]大和田成,サラブレッドクラブ・ラフィアン,
12,6,11,フィナルタ,牝2,53,木幡巧也,1:37.9,クビ,**,9-10-9,35.6,95.4,9,412(0),,,,[東]牧光二,石瀬浩三,
13,5,10,タッカーアリシア,牝2,54,津村明秀,1:38.0,クビ,**,15-15-15,35.0,148.4,11,464(0),,,,[東]鈴木伸尋,小松崎孝,
14,2,4,ホーリーハート,牝2,54,蛯名正義,1:38.0,ハナ,**,9-12-13,35.5,180.2,13,508(0),,,,[東]田中清隆,坂巻勝彦,
15,2,3,ジューンバラード,牝2,54,菅原隆一,1:38.0,クビ,**,9-10-11,35.7,349.9,15,434(0),,,,[東]堀井雅広,吉川潤,
16,5,9,ミサトラモーヌ,牝2,54,柴山雄一,1:38.9,5,**,16-16-16,35.6,320.0,14,420(0),,,,[東]谷原義明,戸部政彦,
