着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,8,デザートスネーク,セ4,57,黛弘人,1:51.4,,**,5-5-4-4,36.8,6.8,2,482(+8),,,,[東]武井亮,石瀬浩三,"1,531.5"
2,4,7,アナザートゥルース,セ4,57,大野拓弥,1:51.4,アタマ,**,2-2-2-1,37.1,1.4,1,480(-2),,,,[東]高木登,ノルマンディーサラブレッドレーシング,609.0
3,5,9,スペリオルシチー,牡4,57,石川裕紀,1:51.4,クビ,**,3-3-2-2,37.0,16.2,5,470(-4),,,,[東]相沢郁,友駿ホースクラブ,384.5
4,6,11,バトルスピリッツ,牡4,57,ルメール,1:51.6,1.1/4,**,10-10-10-9,36.6,6.8,3,514(0),,,,[東]藤沢和雄,山本英俊,230.0
5,6,10,セガールモチンモク,セ4,57,戸崎圭太,1:51.9,1.3/4,**,9-8-7-7,37.1,11.9,4,482(0),,,,[東]粕谷昌央,小田切有一,150.0
6,4,6,ポルトドレーヴ,セ5,57,三浦皇成,1:52.0,3/4,**,12-12-7-6,37.2,198.8,13,462(-4),,,,[東]古賀慎明,村野康司,
7,3,5,ボールドアテンプト,牝5,55,北村宏司,1:52.2,1.1/4,**,7-5-7-7,37.4,82.5,9,464(-4),,,,[東]古賀慎明,Ｇ１レーシング,
8,7,13,スクラッタ,牝5,55,嘉藤貴行,1:52.4,1.1/4,**,14-14-15-14,37.0,257.7,14,420(+12),,,,[東]武市康男,吉田照哉,
9,1,1,ディーズフェイク,牝3,52,松岡正海,1:52.6,1.1/4,**,12-12-13-12,37.3,181.7,12,458(-6),,,,[東]藤原辰雄,秋谷壽之,
10,3,4,スペルマロン,セ4,57,江田照男,1:52.7,3/4,**,3-3-4-4,38.2,18.9,6,504(+2),,,,[東]古賀史生,西森鶴,
11,2,3,アンプラグド,セ7,57,横山典弘,1:52.8,クビ,**,15-14-13-12,37.5,41.4,7,494(-2),,,,[東]大和田成,諸江幸祐,
12,2,2,ディアドナテロ,牡6,57,勝浦正樹,1:53.1,1.3/4,**,10-10-10-10,38.1,176.8,11,494(-6),,,,[東]高橋裕,ディアレストクラブ,
13,8,14,タイセイヴィクター,セ5,57,木幡巧也,1:54.2,7,**,1-1-1-2,40.1,41.9,8,500(-2),,,,[東]林徹,田中成奉,
14,7,12,レオイノセント,牡5,57,丹内祐次,1:54.2,クビ,**,5-5-4-10,39.6,383.8,15,498(-2),,,,[東]牧光二,レオ,
15,8,15,ヒメタチバナ,牝5,55,内田博幸,1:54.8,3.1/2,**,7-8-10-15,39.7,143.6,10,470(+6),,,,[東]柴田政人,岡田勇,
