着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,6,8,ラフィングマッチ,牡3,53,戸崎圭太,1:08.6,,**,1-1,34.8,7.0,4,480(-2),,,,[西]北出成人,ノースヒルズ,"1,532.9"
2,7,10,セイウンリリシイ,牝3,51,武藤雅,1:08.8,1.1/4,**,2-2,34.8,17.0,8,460(-2),,,,[東]水野貴広,西山茂行,609.4
3,2,2,スマートシャヒーン,牡4,55,武豊,1:08.8,クビ,**,4-4,34.7,15.6,7,476(-6),,,,[西]安田隆行,大川徹,384.7
4,3,3,ショウナンマッシブ,牡4,54,吉田隼人,1:08.9,クビ,**,6-5,34.5,137.3,13,470(+2),,,,[東]田中剛,国本哲秀,230.0
5,7,11,ビリーバー,牝3,51,大野拓弥,1:09.0,1/2,**,9-10,34.4,5.5,3,462(-2),,,,[東]石毛善彦,ミルファーム,150.0
6,5,6,カッパツハッチ,牝3,51,石川裕紀,1:09.0,クビ,**,4-5,34.8,10.2,6,462(+6),,,,[東]矢野英一,ターフ・スポート,
7,8,12,ラベンダーヴァレイ,牝5,54,モレイラ,1:09.1,クビ,**,6-7,34.7,3.0,1,426(-6),,,,[西]藤原英昭,金子真人ホールディングス,
8,4,5,ジョイフル,牡4,55,川田将雅,1:09.2,3/4,**,11-10,34.4,5.2,2,508(+4),,,,[西]吉村圭司,ゴドルフィン,
9,6,9,ワンダフルラッシュ,牝5,52,松岡正海,1:09.3,3/4,**,8-7,34.8,8.0,5,454(-4),,,,[東]手塚貴久,サラブレッドクラブ・ラフィアン,
10,5,7,タガノガジュマル,牡5,54,横山典弘,1:09.3,クビ,**,9-12,34.7,96.5,11,416(0),,,,[西]本田優,八木良司,
11,1,1,オフクヒメ,牝5,52,内田博幸,1:09.3,アタマ,**,12-9,34.4,88.8,10,460(+4),,,,[西]松下武士,山田裕仁,
12,8,13,ラッシュアウト,セ4,56,和田竜二,1:10.0,4,**,2-3,36.0,35.1,9,440(+2),,,,[東]栗田徹,岡田牧雄,
13,4,4,ウィズアットレース,牝6,50,藤田菜七,1:10.1,クビ,**,12-13,35.2,131.2,12,428(+6),,,,[東]中野栄治,岡田牧雄,
