着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,4,8,ジャスティン,牡4,55,坂井瑠星,1:09.7,,**,3-3,35.5,5.1,2,484(-2),,,,[西]矢作芳人,小田吉男,"2,235.0"
2,4,7,ノーフィアー,牡6,54,江田照男,1:10.3,3.1/2,**,4-4,35.9,28.3,10,494(-4),,,,[東]佐藤吉勝,平本敏夫,890.0
3,6,12,シュウジ,牡7,57.5,三浦皇成,1:10.4,1/2,**,6-4,35.9,6.0,3,506(-2),,,,[西]須貝尚介,安原浩司,555.0
4,8,16,ショーム,牡5,56,横山武史,1:10.4,クビ,**,9-7,35.5,6.0,4,492(-6),,,,[東]鈴木伸尋,西森功,330.0
5,7,13,エレクトロポップ,牡7,54,田辺裕信,1:10.4,クビ,**,11-10,35.4,49.3,13,504(+8),,,,[東]田村康仁,社台レースホース,220.0
6,2,4,ヒデノヴィーナス,牝4,53,川須栄彦,1:10.5,1/2,**,2-2,36.4,4.5,1,452(-2),,,,[西]梅田智之,大石秀夫,
7,3,6,ハットラブ,牝6,53,菊沢一樹,1:10.6,1/2,**,15-14,34.8,18.1,7,486(0),,,,[東]菊沢隆徳,服部邦繁,
8,3,5,ヨシオ,牡7,56,ヒューイ,1:10.9,1.1/2,**,12-12,35.8,20.7,9,488(-4),,,,[西]森秀行,岩見裕輔,
9,5,9,ベストマッチョ,セ7,56,北村宏司,1:10.9,アタマ,**,4-6,36.5,19.1,8,500(0),,,,[東]手塚貴久,馬場幸夫,
10,7,14,リュウノユキナ,牡5,54,柴田善臣,1:11.1,1.1/4,**,8-7,36.3,11.5,6,502(+4),,,,[東]小野次郎,蓑島竜一,
11,1,2,ヒザクリゲ,牝5,53,ミナリク,1:11.2,1/2,**,13-12,35.9,41.2,11,444(+10),,,,[西]牧浦充徳,手嶋康雄,
12,5,10,ハングリーベン,牡6,55,内田博幸,1:11.2,クビ,**,9-10,36.3,44.6,12,450(+8),,,,[東]武井亮,石瀬浩三,
13,8,15,サイタスリーレッド,牡7,57,津村明秀,1:11.3,3/4,**,7-7,36.7,73.5,14,486(-8),,,,[西]池添兼雄,西村憲人,
14,1,1,メイショウワダイコ,牡8,53,横山和生,1:11.5,1,**,16-16,35.5,173.0,16,530(-4),,,,[西]池添兼雄,松本好雄,
15,2,3,レッドアネラ,牝5,53,西村淳也,1:11.6,1/2,**,1-1,37.8,7.4,5,494(0),,,,[東]加藤征弘,東京ホースレーシング,
16,6,11,ミキノドラマー,牡7,53,西田雄一,1:12.6,6,**,14-14,37.2,119.1,15,500(-4),,,,[東]南田美知,谷口久和,
