着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,16,アイアムイチオシ,牡3,53,小林脩斗,1:12.3,,**,2-2,38.2,17.9,6,524(-4),,,,[東]奥平雅士,堀紘一,510.0
2,2,4,ダウラギリ,牡3,56,石橋脩,1:12.7,2.1/2,**,1-1,38.6,4.6,2,510(+6),,,,[東]和田正一,スピードファーム,200.0
3,1,2,ショーショーショー,牡3,56,津村明秀,1:13.1,2.1/2,**,10-9,37.2,6.2,4,518(+8),,,,[東]鈴木伸尋,吉冨学,130.0
4,3,5,ブンロート,牡3,56,大野拓弥,1:13.1,アタマ,**,3-3,38.6,4.7,3,516(0),,,,[東]牧光二,石瀬浩三,77.0
5,6,12,トミケンリフリーク,牝3,54,丸山元気,1:13.3,1.1/4,**,5-5,38.3,39.9,8,444(0),,,,[東]竹内正洋,冨樫賢二,51.0
6,5,10,ラファエル,牡3,56,田辺裕信,1:13.4,1/2,**,8-7,37.7,16.8,5,490(+6),,,,[東]伊藤圭三,ゴドルフィン,
7,7,13,アルディビート,牡3,53,小林凌大,1:13.5,クビ,**,7-6,38.2,147.8,10,476(+12),,,,[東]土田稔,坂田行夫,
8,5,9,ツキマデトドケ,牡3,56,Ｍ．デム,1:13.9,2,**,8-7,38.2,2.2,1,488(+2),,,,[東]田島俊明,レッドマジック,
9,7,14,キタノアティクス,牡3,53,山田敬士,1:14.0,3/4,**,4-4,39.4,277.4,13,490(0),,,,[東]小笠倫弘,北所直人,
10,1,1,ヴァンダーファルケ,牡3,56,横山武史,1:14.3,2,**,11-11,37.9,71.4,9,480(+8),,,,[東]大和田成,長浜牧場,
11,4,7,グランバル,牡3,56,柴田大知,1:15.0,4,**,14-15,38.1,360.0,15,464(-2),,,,[東]和田雄二,ターフ・スポート,
12,4,8,テイエムブロッコ,セ3,56,丸田恭介,1:15.1,クビ,**,14-14,38.2,156.1,11,498(+8),,,,[東]石栗龍彦,竹園正繼,
13,3,6,ウメノハナ,牝3,54,野中悠太,1:15.2,1/2,**,6-9,40.0,253.3,12,448(+6),,,,[東]小島茂之,梅村浩,
14,2,3,ミルクティーカラー,牝3,54,木幡初也,1:15.2,ハナ,**,16-16,37.8,436.6,16,402(+2),,,,[東]矢野英一,テシオ,
15,8,15,ルートサブロク,牡3,56,岩部純二,1:15.2,クビ,**,12-12,38.6,350.4,14,476(+2),,,,[東]石毛善彦,ミルファーム,
16,6,11,アーティカティカ,牡3,56,内田博幸,1:15.4,1.1/4,**,13-12,38.6,29.4,7,540(0),,,,[東]尾形和幸,和田志保,
