着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,7,13,バーナードループ,牡3,56,藤岡佑介,1:54.3,,**,3-3-3-3,38.4,2.8,1,514(+4),,,,[東]高木登,社台レースホース,730.0
2,5,10,ファイアランス,牡3,56,津村明秀,1:54.6,1.3/4,**,6-6-4-3,38.6,7.6,4,486(-4),,,,[東]高橋祥泰,ゴドルフィン,290.0
3,7,14,エースレイジング,牡3,56,岩田康誠,1:54.7,1/2,**,2-2-2-2,38.9,30.9,10,442(-4),,,,[西]小崎憲,三浦勝仁,180.0
4,5,9,アイノア,牝3,54,柴田大知,1:55.5,5,**,1-1-1-1,39.8,54.3,14,474(-8),,,,[東]青木孝文,ビッグレッドファーム,110.0
5,4,8,マイネルアストリア,牡3,56,丹内祐次,1:55.8,2,**,3-3-4-5,39.8,26.8,8,486(-4),,,,[東]武市康男,サラブレッドクラブ・ラフィアン,73.0
6,3,6,フラッフィクラウド,牡3,56,北村宏司,1:55.9,クビ,**,7-8-6-6,39.6,12.0,5,464(-2),,,,[東]萩原清,Ｇ１レーシング,
7,4,7,シアトルテソーロ,牡3,56,ヒューイ,1:55.9,クビ,**,7-8-6-6,39.5,5.0,3,496(+2),,,,[東]栗田徹,了徳寺健二ホールディングス,
8,2,3,フリーフロー,牡3,56,大野拓弥,1:55.9,アタマ,**,15-15-15-13,38.5,4.8,2,468(-2),,,,[東]宗像義忠,里見美惠子,
9,8,15,ルナエクリプス,牡3,56,石橋脩,1:56.0,クビ,**,12-12-9-8,39.0,24.9,7,516(0),,,,[東]田村康仁,吉田晴哉,
10,1,1,リュードマン,牡3,56,横山典弘,1:56.1,3/4,**,10-10-13-11,39.0,85.2,15,472(0),,,,[東]中川公成,ノルマンディーサラブレッドレーシング,
11,6,12,メタルスパーク,牡3,56,三浦皇成,1:56.1,ハナ,**,13-12-9-8,39.1,47.3,11,498(+6),,,,[東]伊藤圭三,ディアレストクラブ,
12,1,2,モルタル,牡3,56,内田博幸,1:56.3,3/4,**,13-12-13-13,39.1,29.0,9,480(-4),,,,[東]加藤征弘,阿部友弘,
13,6,11,ハルプモント,牡3,56,石川裕紀,1:57.1,5,**,16-16-16-15,39.5,50.2,12,488(-6),,,,[東]池上昌和,保坂和孝,
14,2,4,エウロパ,牝3,54,木幡巧也,1:58.0,5,**,7-6-9-10,41.1,239.9,16,456(-4),,,,[東]尾形和幸,コロンバスサークル,
15,8,16,ブレイクザボーダー,牡3,56,ミナリク,1:58.3,2,**,3-3-8-11,41.5,53.4,13,472(0),,,,[東]畠山吉宏,グランデオーナーズ,
16,3,5,ワセダウォリアー,牡3,56,Ｍ．デム,1:58.6,1.3/4,**,10-10-9-15,41.6,21.0,6,464(+2),,,,[東]金成貴史,大冨智弘,
