着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,6,8,ゴールドサーベラス,牡6,57,大野拓弥,1:34.3,,**,9-10-9,34.4,28.5,8,460(+6),,,,[東]清水英克,田頭勇貴,"1,846.6"
2,3,3,プロディガルサン,牡5,57,戸崎圭太,1:34.3,クビ,**,9-7-4,34.7,2.7,1,520(-2),,,,[東]国枝栄,金子真人ホールディングス,737.6
3,4,4,チャンピオンルパン,牡7,57,横山和生,1:34.4,クビ,**,7-7-10,34.7,26.4,7,494(-10),,,,[東]勢司和浩,坪野谷和平,463.8
4,7,9,ソーグリッタリング,牡4,57,Ｍ．デム,1:34.4,クビ,**,8-7-7,34.8,3.5,2,476(-12),,,,[西]池江泰寿,社台レースホース,270.0
5,8,11,ウインファビラス,牝5,55,松岡正海,1:34.8,2.1/2,**,5-4-4,35.4,49.8,9,468(-4),,,,[東]畠山吉宏,ウイン,182.0
6,8,12,クリアザトラック,牡4,57,北村宏司,1:34.9,1/2,**,5-2-2,35.8,5.4,3,450(-4),,,,[西]角居勝彦,金子真人ホールディングス,
7,6,7,ショウナンライズ,牡5,57,田辺裕信,1:34.9,ハナ,**,1-1-1,35.9,18.1,6,474(-4),,,,[東]上原博之,国本哲秀,
8,1,1,ティソーナ,セ5,57,ルメール,1:35.0,1/2,**,2-6-7,35.5,5.7,4,506(+18),,,,[東]藤沢和雄,キャロットファーム,
9,2,2,ターゲリート,牡5,57,吉田隼人,1:35.3,1.3/4,**,9-10-11,35.4,13.8,5,486(0),,,,[東]戸田博文,Ｇ１レーシング,
10,5,6,マイネルメリエンダ,牡7,57,柴田大知,1:35.6,1.3/4,**,4-4-4,36.2,76.1,10,498(-4),,,,[東]和田正一,サラブレッドクラブ・ラフィアン,
11,5,5,クラウンディバイダ,牡5,57,内田博幸,1:35.8,1.1/4,**,2-2-2,36.7,81.7,11,474(+2),,,,[東]斎藤誠,クラウン,
取,7,10,クラウンレガーロ,牡8,57,三浦皇成,,,**,,,---,,計不,,,,[東]天間昭一,クラウン,
