着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,2,2,フリージングレイン,牡4,57,石橋脩,2:02.3,,**,2-2-2-1,35.4,5.5,2,522(-6),,,,[東]古賀慎明,社台レースホース,"1,528.0"
2,4,5,エニグマバリエート,牡6,57,吉田隼人,2:02.7,2.1/2,**,9-9-11-8,35.1,5.8,3,494(+4),,,,[東]戸田博文,平井裕,608.0
3,1,1,ケルフロイデ,牡5,57,ミナリク,2:02.7,クビ,**,3-3-4-3,35.5,9.3,6,492(+2),,,,[東]加藤征弘,キャロットファーム,384.0
4,8,12,ホットファイヤー,牡5,57,勝浦正樹,2:02.9,1.1/4,**,9-9-11-4,35.2,25.3,9,470(-2),,,,[西]松元茂樹,西田彰宏,230.0
5,4,4,サブライムカイザー,牡6,57,大野拓弥,2:02.9,クビ,**,6-6-8-12,35.4,7.8,4,504(-2),,,,[東]池上昌和,ヒダカ・ブリーダーズ・ユニオン,150.0
6,5,6,エフティスパークル,牡5,57,蛯名正義,2:03.0,クビ,**,6-6-8-10,35.5,3.2,1,462(0),,,,[東]鹿戸雄一,吉野英子,
7,8,13,ベイビーステップ,牡4,57,内田博幸,2:03.1,1/2,**,3-5-4-4,35.9,8.6,5,488(-4),,,,[東]菊川正達,大塚Ｒｙ’ｓＣＬＵＢ,
8,5,7,シャインアロー,セ6,57,松岡正海,2:03.2,1/2,**,9-9-11-10,35.5,26.0,10,464(+6),,,,[東]柴田政人,岡田勇,
9,6,9,スズカヴァンガード,セ7,57,西田雄一,2:03.2,クビ,**,12-12-4-8,35.9,104.5,11,488(-8),,,,[東]小島茂之,永井啓弍,
10,7,11,ベストドリーム,牡7,57,柴田大知,2:03.8,3.1/2,**,13-13-3-4,36.8,165.9,12,488(+4),,,,[東]松山将樹,堀口晴男,
11,3,3,ビービーガウディ,牡4,57,戸崎圭太,2:03.8,アタマ,**,6-6-8-4,36.4,17.1,8,474(0),,,,[東]久保田貴,坂東牧場,
12,7,10,マイネルズイーガー,牡4,57,丹内祐次,2:04.1,2,**,1-1-1-2,37.2,11.5,7,500(+4),,,,[東]武藤善則,サラブレッドクラブ・ラフィアン,
13,6,8,スワンボート,牡8,57,大庭和弥,2:05.3,7,**,3-3-4-12,38.1,340.4,13,482(+6),,,,[東]柴田政人,田頭勇貴,
