着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,7,14,グラスレオ,牡3,56,田辺裕信,1:11.8,,**,5-2,36.8,7.8,5,486(+8),,,,[東]尾形和幸,半沢,500.0
2,5,10,ヴォルフスブルク,牡3,56,内田博幸,1:12.8,6,**,5-5,37.7,5.9,4,460(+4),,,,[東]奥平雅士,コスモヴューファーム,200.0
3,4,7,コスモビッグハート,牡3,56,柴田大知,1:12.8,クビ,**,8-7,37.5,13.7,6,474(-6),,,,[東]松山将樹,ビッグレッドファーム,130.0
4,7,13,コケット,牝3,54,ミナリク,1:12.9,1/2,**,1-1,38.4,5.1,3,504(-6),,,,[東]竹内正洋,堀祥子,75.0
5,8,16,パンテラ,牝3,54,北村宏司,1:12.9,ハナ,**,2-2,38.2,15.2,7,430(-4),,,,[東]田島俊明,佐藤範夫,50.0
6,4,8,キミワテンマ,牡3,54,武藤雅,1:12.9,クビ,**,5-7,37.9,4.2,2,498(+6),,,,[東]武藤善則,浦邊輝實,
7,8,15,ラッキーユー,牡3,56,丹内祐次,1:13.0,1/2,**,3-2,38.1,464.5,15,458(-2),,,,[東]中川公成,岡田牧雄,
8,1,1,タイセイゴーディー,牡3,56,石橋脩,1:13.0,アタマ,**,10-9,37.5,3.6,1,464(0),,,,[東]青木孝文,田中成奉,
9,3,5,ミルトボード,牡3,56,吉田隼人,1:13.7,4,**,13-13,37.6,32.9,8,468(-8),,,,[東]佐藤吉勝,永山勝敏,
10,6,11,スターオンザヒル,牡3,56,武士沢友,1:13.8,3/4,**,10-12,38.3,86.0,11,504(0),,,,[東]南田美知,飯田総一郎,
11,6,12,ゴールドエントリー,牡3,56,田中勝春,1:14.1,1.3/4,**,10-11,38.7,92.8,12,490(+2),,,,[東]宗像義忠,居城寿与,
12,2,3,グラチダオン,牡3,56,横山典弘,1:14.6,3,**,14-14,37.8,58.0,10,514(0),,,,[東]伊藤大士,酒井牧場,
13,3,6,リョウクン,牡3,56,江田照男,1:15.1,3,**,8-9,39.8,144.1,13,440(+2),,,,[東]田中剛,保坂義貞,
14,5,9,トリニティハート,牝3,54,柴田善臣,1:15.2,1/2,**,3-5,40.4,38.1,9,458(-2),,,,[東]田中博康,スピードファーム,
15,2,4,シュク,牡3,53,野中悠太,1:17.3,大,**,15-15,38.5,400.0,14,454(0),,,,[東]本間忍,小田切有一,
16,1,2,ダイダラボッチ,牡3,53,山田敬士,1:17.5,1.1/4,**,15-15,38.7,678.8,16,462(+8),,,,[東]小桧山悟,江川伸夫,
