着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,3,5,デジマノハナ,牝2,54,横山典弘,1:49.9,,**,6-3-3-3,35.7,3.4,1,478(-2),,,,[東]武井亮,大島有志生,500.0
2,5,10,マスターワーク,牝2,54,三浦皇成,1:50.2,1.3/4,**,2-3-3-3,36.0,4.2,2,486(+6),,,,[東]鹿戸雄一,キャロットファーム,200.0
3,8,15,ウインキートス,牝2,54,松岡正海,1:50.4,1.1/4,**,8-7-6-5,35.9,5.4,3,446(+4),,,,[東]宗像義忠,ウイン,130.0
4,6,12,バトーブラン,牝2,54,柴田大知,1:50.4,クビ,**,4-6-2-1,36.4,22.3,8,438(+4),,,,[東]清水英克,サラブレッドクラブ・ラフィアン,75.0
5,5,9,ミルキーハート,牝2,54,木幡巧也,1:50.5,1/2,**,4-5-6-5,36.0,9.5,5,452(+2),,,,[東]牧光二,伊東純一,50.0
6,7,13,カウイダンス,牝2,54,津村明秀,1:50.7,1,**,10-7-6-7,36.1,9.0,4,450(-6),,,,[東]相沢郁,細谷典幸,
7,3,6,パラティーノヒル,牝2,52,木幡育也,1:50.7,ハナ,**,2-2-3-7,36.4,40.3,10,412(+14),,,,[東]武藤善則,吉田照哉,
8,2,3,ナゲキッス,牝2,54,江田照男,1:50.7,クビ,**,1-1-1-2,36.7,17.6,6,424(+10),,,,[東]大江原哲,平本敏夫,
9,4,8,レッドペルーシュ,牝2,54,武藤雅,1:50.8,クビ,**,14-15-14-14,35.7,331.8,15,408(-12),,,,[東]宗像義忠,東京ホースレーシング,
10,7,14,ホウオウエミーズ,牝2,54,田辺裕信,1:50.8,クビ,**,8-7-9-7,36.1,17.8,7,454(+6),,,,[東]池上昌和,小笹芳央,
11,1,2,デュアルネイチャー,牝2,54,石橋脩,1:51.7,5,**,13-13-13-13,36.7,36.4,9,446(+8),,,,[東]国枝栄,Ｇ１レーシング,
12,1,1,ペリトモレノ,牝2,54,杉原誠人,1:51.8,1/2,**,11-11-11-10,37.0,237.3,13,468(+10),,,,[東]大江原哲,ミルファーム,
13,6,11,ミモザゴール,牝2,54,北村宏司,1:51.9,3/4,**,6-7-9-10,37.2,47.1,11,478(+4),,,,[東]加藤士津,ニューワールドレーシング,
14,4,7,キャツクレードル,牝2,54,大野拓弥,1:52.0,3/4,**,14-14-14-16,36.8,328.9,14,450(-12),,,,[東]佐藤吉勝,石瀬浩三,
15,2,4,フェアリーシップ,牝2,54,内田博幸,1:52.0,アタマ,**,16-16-14-10,36.9,83.4,12,462(+4),,,,[東]石栗龍彦,小林英一ホールディングス,
16,8,16,ラララ,牝2,53,野中悠太,1:52.9,5,**,12-11-11-15,38.0,604.4,16,404(+2),,,,[東]武市康男,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,
