着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,7,13,コントラチェック,牝3,54,ルメール,1:32.2,,**,1-1-1,34.9,6.1,3,466(+2),,,,[東]藤沢和雄,キャロットファーム,"3,659.5"
2,4,8,エスポワール,牝3,53,Ｍ．デム,1:32.5,1.3/4,**,2-6-2,34.6,4.2,2,478(+2),,,,[西]角居勝彦,近藤英子,"1,417.0"
3,4,7,シゲルピンクダイヤ,牝3,54,和田竜二,1:32.8,2,**,7-8-2,34.6,4.2,1,458(-6),,,,[西]渡辺薫彦,森中蕃,908.5
4,7,14,フィリアプーラ,牝3,53,丸山元気,1:32.8,ハナ,**,16-16-15,33.8,45.2,12,452(+8),,,,[東]菊沢隆徳,キャロットファーム,540.0
5,1,1,メイショウグロッケ,牝5,53,蛯名正義,1:32.8,アタマ,**,2-4-2,35.0,21.8,9,460(0),,,,[西]荒川義之,松本好隆,360.0
6,3,5,デンコウアンジュ,牝6,56,柴田善臣,1:32.8,ハナ,**,13-11-12,34.4,38.0,11,468(+6),,,,[西]荒川義之,田中康弘,
7,5,9,リバティハイツ,牝4,55,藤岡佑介,1:32.9,クビ,**,10-11-9,34.5,35.1,10,458(+6),,,,[西]高野友和,社台レースホース,
8,1,2,ウインシャトレーヌ,牝5,53,松岡正海,1:33.1,1.1/4,**,10-7-9,35.0,127.9,15,492(+4),,,,[西]大久保龍,ウイン,
9,3,6,フロンテアクイーン,牝6,56,津村明秀,1:33.2,1/2,**,9-8-9,35.0,10.4,5,474(+2),,,,[東]国枝栄,三協ファーム,
10,5,10,ダノングレース,牝4,54,三浦皇成,1:33.2,ハナ,**,13-14-12,34.6,58.2,13,430(+2),,,,[東]国枝栄,ダノックス,
11,8,15,ディメンシオン,牝5,54,マーフィ,1:33.3,1/2,**,7-8-2,35.1,13.0,7,448(-6),,,,[西]藤原英昭,広尾レース,
12,2,4,ハーレムライン,牝4,54,大野拓弥,1:33.6,2,**,15-14-15,34.9,74.2,14,476(+4),,,,[東]田中清隆,吉田千津,
13,6,11,オールフォーラヴ,牝4,55,ビュイッ,1:33.8,1.1/4,**,10-13-12,35.3,16.2,8,456(-8),,,,[西]中内田充,ロードホースクラブ,
14,6,12,フローレスマジック,牝5,54,北村宏司,1:33.9,クビ,**,2-2-7,36.2,158.9,16,484(+12),,,,[東]木村哲也,サンデーレーシング,
15,2,3,モアナ,牝5,54,石橋脩,1:33.9,クビ,**,2-4-7,36.1,12.1,6,510(+10),,,,[東]高橋文雅,吉田和美,
16,8,16,トロワゼトワル,牝4,55,横山典弘,1:35.1,7,**,2-2-2,37.4,7.2,4,462(0),,,,[西]安田隆行,社台レースホース,
