着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,9,アルマセグレート,牝2,54,丸山元気,1:14.3,,**,2-2,38.1,2.4,1,452(0),,,,[東]高柳瑞樹,サンデーレーシング,700.0
2,6,12,ショーショーショー,牡2,55,津村明秀,1:14.8,3,**,8-9,37.9,4.1,2,526(0),,,,[東]鈴木伸尋,吉冨学,280.0
3,1,1,ゴーゴーヘレンド,牝2,51,山田敬士,1:15.0,1.1/4,**,3-3,38.6,21.7,6,486(0),,,,[東]林徹,上山牧,180.0
4,1,2,アキラクン,牡2,52,藤田菜七,1:15.2,1,**,3-3,38.8,6.1,4,450(0),,,,[西]村山明,小林祥晃,110.0
5,6,11,ローズブランシェ,牝2,54,武士沢友,1:15.5,2,**,8-6,38.6,164.8,16,444(0),,,,[東]小桧山悟,島川隆哉,70.0
6,7,13,エクスムーア,牝2,54,黛弘人,1:15.6,3/4,**,10-9,38.5,125.0,14,448(0),,,,[東]土田稔,北所直人,
7,8,16,タマモビックホーム,牡2,52,菅原明良,1:15.9,1.3/4,**,6-6,39.3,11.3,5,448(0),,,,[東]伊藤圭三,タマモ,
8,2,3,シゲルペガススザ,牡2,55,蛯名正義,1:16.1,1.1/2,**,13-13,38.2,140.6,15,500(0),,,,[東]中野栄治,森中蕃,
9,2,4,スマイルオリオン,牡2,54,野中悠太,1:16.2,クビ,**,1-1,40.1,48.9,9,492(0),,,,[東]松山将樹,松野真一,
10,3,6,トキノヒト,牝2,54,大野拓弥,1:16.5,1.3/4,**,11-11,39.2,47.3,8,406(0),,,,[東]新開幸一,松田整二,
11,5,10,シゲルケレス,牡2,55,的場勇人,1:16.6,3/4,**,3-3,40.2,121.9,12,480(0),,,,[東]的場均,森中蕃,
12,7,14,ビクトリーマジック,セ2,55,丸田恭介,1:16.7,クビ,**,16-16,38.5,29.7,7,440(0),,,,[東]竹内正洋,田島榮二郎,
13,3,5,トミケンヴァイゼ,牝2,54,勝浦正樹,1:16.7,クビ,**,6-6,40.0,118.0,11,476(0),,,,[東]武市康男,冨樫賢二,
14,4,7,トモジャブルーノ,牡2,55,石川裕紀,1:16.7,ハナ,**,13-12,38.9,5.8,3,484(0),,,,[東]小笠倫弘,吉冨朝美,
15,8,15,ララスカート,牝2,54,内田博幸,1:17.1,2.1/2,**,15-15,39.1,124.5,13,420(0),,,,[東]田中剛,松村真司,
16,4,8,ワイワイガール,牝2,54,柴田善臣,1:18.1,6,**,12-13,40.6,109.0,10,408(0),,,,[東]天間昭一,山田泰司,
