着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,1,2,レヴァンテ,牡4,57,横山典弘,1:12.0,,**,4-4,37.1,3.3,1,482(0),,,,[東]萩原清,寺田寿男,750.0
2,1,1,フロイデ,セ4,55,木幡育也,1:12.1,3/4,**,1-1,37.4,71.2,12,498(+10),,,,[東]本間忍,岡田壮史,300.0
3,8,16,ナムラアイアイサー,牡3,53,菅原明良,1:12.3,1,**,7-8,37.1,3.7,2,470(+4),,,,[東]武市康男,奈村睦弘,190.0
4,2,4,アマデウス,牡3,56,武藤雅,1:12.3,クビ,**,2-2,37.6,6.3,3,464(+8),,,,[東]久保田貴,中西純穂,110.0
5,7,13,シルヴェーヌ,牝4,55,江田照男,1:12.4,クビ,**,3-3,37.6,21.9,8,462(-2),,,,[東]伊藤伸一,西田順彦,75.0
6,7,14,エンパイアシュアー,牡3,53,大塚海渡,1:12.5,1/2,**,5-5,37.5,69.4,11,478(+8),,,,[東]和田雄二,ターフ・スポート,
7,4,7,ケイアイマリブ,牡4,57,内田博幸,1:12.5,クビ,**,5-5,37.5,8.0,4,496(+20),,,,[東]和田正一,亀田和弘,
8,3,5,ブランオラージュ,セ5,57,勝浦正樹,1:12.6,3/4,**,10-8,37.2,10.4,6,438(0),,,,[東]田村康仁,ディアレストクラブ,
9,4,8,プリンセスヨウク,牝5,55,黛弘人,1:12.7,1/2,**,13-13,37.1,19.5,7,444(0),,,,[東]石栗龍彦,ライオンレースホース,
10,3,6,ゴムマリ,牝4,55,岩部純二,1:12.8,クビ,**,16-16,36.9,195.0,14,490(+14),,,,[東]浅野洋一,田頭勇貴,
11,6,12,マイネルナイペス,牡3,56,柴田大知,1:12.9,1/2,**,10-11,37.5,90.2,13,462(+4),,,,[東]伊藤圭三,サラブレッドクラブ・ラフィアン,
12,8,15,トモジャスティス,牡4,57,津村明秀,1:13.0,クビ,**,13-15,37.4,27.7,9,512(0),,,,[東]鈴木伸尋,吉冨学,
13,2,3,ラブヘネシー,牝4,55,嶋田純次,1:13.0,アタマ,**,7-7,37.8,335.2,16,452(+12),,,,[東]星野忍,増田陽一,
14,5,9,ステイホット,牝3,54,三浦皇成,1:13.3,1.3/4,**,7-8,38.1,9.8,5,470(+4),,,,[東]杉浦宏昭,小林善一,
15,5,10,アテンフェアリー,牝3,54,北村宏司,1:13.3,アタマ,**,13-13,37.7,42.3,10,462(0),,,,[東]萱野浩二,齊藤直信,
16,6,11,テンキセキ,牝6,55,木幡巧也,1:13.4,1/2,**,10-11,38.1,253.1,15,490(+8),,,,[東]牧光二,天白泰司,
