着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,15,ミエノウインウイン,セ4,57,ルメール,1:36.0,,**,9-1-2,35.5,4.3,2,476(-6),,,,[西]高橋亮,里見美惠子,"1,535.7"
2,4,8,スーパーブレイク,牡5,57,吉田豊,1:36.0,ハナ,**,13-13-10,34.5,83.1,14,476(+6),,,,[東]戸田博文,堂守貴志,610.2
3,6,11,アイリスフィール,牝3,54,石川裕紀,1:36.1,1/2,**,15-8-1,35.0,25.0,7,434(+4),,,,[東]相沢郁,杵臼牧場,385.1
4,3,5,アルトリウス,セ5,57,北村宏司,1:36.1,クビ,**,9-13-11,34.6,52.4,12,464(+8),,,,[東]高橋文雅,Ｇ１レーシング,230.0
5,1,2,ナイトバナレット,牡5,57,坂井瑠星,1:36.2,クビ,**,13-16-16,34.5,52.5,13,488(+4),,,,[西]矢作芳人,シルクレーシング,150.0
6,7,14,ソーラーフレア,牡4,57,三浦皇成,1:36.2,クビ,**,8-9-6,35.0,11.9,5,460(+8),,,,[東]高柳瑞樹,ゴドルフィン,
7,5,9,セリユーズ,牝3,54,マーフィ,1:36.3,1/2,**,4-5-6,35.4,2.3,1,510(+8),,,,[東]国枝栄,シルクレーシング,
8,4,7,テンワールドレイナ,牝4,55,Ｍ．デム,1:36.3,ハナ,**,2-5-11,35.3,8.4,4,476(0),,,,[東]矢野英一,天白泰司,
9,5,10,ココフィーユ,牝3,54,内田博幸,1:36.3,ハナ,**,1-2-6,35.6,33.1,9,436(+8),,,,[東]斎藤誠,スリーエイチレーシング,
10,2,4,プレトリア,セ4,57,岩田康誠,1:36.3,ハナ,**,9-13-14,34.8,26.4,8,466(+6),,,,[東]中川公成,多田賢司,
11,2,3,イダエンペラー,牡4,57,岩田望来,1:36.3,ハナ,**,4-9-11,35.1,49.0,11,510(+24),,,,[西]藤原英昭,張一達,
12,1,1,ノーブルカリナン,牝4,55,福永祐一,1:36.5,3/4,**,4-9-14,35.3,7.8,3,462(0),,,,[西]友道康夫,社台レースホース,
13,6,12,コスモヨハネ,牡7,57,柴田大知,1:36.5,クビ,**,9-2-2,35.8,18.5,6,496(+2),,,,[東]高橋裕,ビッグレッドファーム,
14,3,6,ディロス,セ4,57,津村明秀,1:36.6,クビ,**,15-12-2,35.2,40.3,10,516(0),,,,[東]木村哲也,シルクレーシング,
15,8,16,ボールドジャパン,牡8,57,江田照男,1:36.7,1/2,**,2-2-6,36.1,233.5,15,522(+2),,,,[東]蛯名利弘,増田陽一,
16,7,13,エミーリオ,牡5,57,丸田恭介,1:37.0,1.3/4,**,4-5-2,36.0,284.2,16,498(+2),,,,[東]田中剛,加藤誠,
