着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,9,ティターヌ,牡3,56,内田博幸,1:54.3,,**,1-1-1-1,38.3,11.6,5,452(0),,,,[東]栗田徹,スリーエイチレーシング,750.0
2,8,15,チェリートリトン,牡5,54,小林凌大,1:55.5,7,**,4-3-3-2,39.3,5.2,4,488(+2),,,,[東]小西一男,櫻井悦朗,300.0
3,5,10,デストロイ,牡5,54,菅原明良,1:55.5,クビ,**,9-9-9-8,38.7,39.5,11,514(+6),,,,[東]高橋裕,諸岡慶,190.0
4,3,6,ナガレボシトリキシ,牡3,56,黛弘人,1:55.6,クビ,**,6-6-6-8,39.0,125.1,15,512(+20),,,,[東]中野栄治,芳賀克也,110.0
5,3,5,ゴーインピース,牝3,54,嶋田純次,1:55.8,1,**,3-3-3-4,39.5,53.1,12,428(-16),,,,[東]手塚貴久,下河辺俊行,75.0
6,2,3,ジェイエルノブレス,牝4,55,田辺裕信,1:55.9,3/4,**,9-9-9-10,39.1,28.1,9,462(+2),,,,[東]小西一男,橋元幸人,
7,8,16,ロージズキング,牡4,57,木幡巧也,1:55.9,アタマ,**,4-5-3-4,39.6,16.0,6,520(+6),,,,[東]牧光二,鈴木芳夫,
8,1,1,ミヤケ,牡3,56,大野拓弥,1:56.3,2.1/2,**,12-11-13-12,39.2,28.0,8,482(+8),,,,[東]和田勇介,小林祥晃,
9,2,4,ベンガラグンジョウ,牡3,56,三浦皇成,1:56.5,1.1/4,**,11-11-13-12,39.4,4.2,2,518(-10),,,,[東]伊藤大士,諸江幸祐,
10,6,12,シベリアンプラウド,牡3,56,松岡正海,1:56.6,3/4,**,16-16-16-15,39.1,209.1,16,506(+4),,,,[東]伊藤伸一,藤田在子,
11,7,14,シャイニーロケット,牡4,57,柴山雄一,1:56.6,ハナ,**,13-11-9-10,39.8,18.2,7,462(+4),,,,[東]佐藤吉勝,小林昌志,
12,4,8,ジェイケイエース,牡3,56,北村宏司,1:56.6,ハナ,**,13-14-15-15,39.3,4.1,1,542(+6),,,,[東]松永康利,小谷野次郎,
13,4,7,サルウェーテ,牡3,56,石川裕紀,1:56.7,クビ,**,2-2-2-2,40.6,92.6,13,472(+18),,,,[東]堀井雅広,西森功,
14,7,13,エンシュラウド,セ3,56,ビュイッ,1:56.8,1/2,**,8-8-6-6,40.2,4.8,3,470(0),,,,[東]藤沢和雄,ゴドルフィン,
15,1,2,ロードザナドゥ,セ4,57,津村明秀,1:58.1,8,**,15-14-12-12,41.1,116.5,14,480(+6),,,,[東]新開幸一,ロードホースクラブ,
16,6,11,クラウドスケープ,牡3,56,江田照男,1:58.5,2.1/2,**,6-6-6-6,41.9,32.8,10,476(+10),,,,[東]藤原辰雄,下河辺俊行,
