着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,16,ステラルーチェ,牡6,57,武士沢友,1:11.0,,**,2-2,37.2,66.4,12,478(-12),,,,[東]蛯名利弘,池田草龍,750.0
2,1,2,ユアザスター,牡5,57,北村宏司,1:11.4,2.1/2,**,7-6,37.3,20.7,8,506(-4),,,,[東]伊藤圭三,西村專次,300.0
3,6,11,ランプルール,牡4,57,内田博幸,1:11.5,3/4,**,9-9,37.2,8.6,4,468(-4),,,,[東]萩原清,吉田勝己,190.0
4,1,1,リチュアルローズ,牝5,55,浜中俊,1:11.5,クビ,**,13-13,36.4,23.3,9,470(+2),,,,[東]新開幸一,社台レースホース,110.0
5,2,3,カワキタピリカ,牡5,57,江田照男,1:11.6,クビ,**,13-13,36.5,10.0,5,506(+2),,,,[東]武市康男,川島吉男,75.0
6,4,7,セイウンアワード,牡6,57,三浦皇成,1:11.7,3/4,**,5-5,37.7,13.8,6,546(-2),,,,[東]杉浦宏昭,西山茂行,
7,5,10,セレノグラフィー,セ5,57,伊藤工真,1:11.8,クビ,**,12-10,37.1,48.0,11,492(+2),,,,[東]大竹正博,村野康司,
8,2,4,レオニーズ,牡7,57,岩田康誠,1:11.9,1/2,**,16-15,36.5,20.5,7,502(-2),,,,[東]小島茂之,社台レースホース,
9,3,5,リトルレグルス,牡4,57,大野拓弥,1:11.9,ハナ,**,1-1,38.3,3.2,1,504(0),,,,[東]手塚貴久,藤田在子,
10,7,14,エルヴス,牝4,55,柴田大知,1:11.9,ハナ,**,7-7,37.8,100.0,13,464(-2),,,,[東]田島俊明,岡田牧雄,
11,5,9,アンジェリー,牝6,55,柴田善臣,1:12.2,2,**,15-15,36.9,103.7,14,478(+8),,,,[東]宗像義忠,佐藤壽男,
12,8,15,サンジレット,牡4,57,和田竜二,1:12.3,1/2,**,2-2,38.6,8.2,3,490(-6),,,,[東]田村康仁,加藤ステーブル,
13,4,8,シャイニングボルト,牡4,57,横山和生,1:12.4,クビ,**,9-10,38.2,118.1,15,472(0),,,,[東]勢司和浩,ラ・メール,
14,6,12,カンバンムスメ,牝4,55,秋山真一,1:12.4,クビ,**,5-7,38.4,26.6,10,432(+2),,,,[東]松永康利,北所直人,
15,3,6,カネトシユキミ,牝4,53,武藤雅,1:13.2,5,**,11-10,38.7,202.1,16,396(0),,,,[東]水野貴広,兼松昌男,
16,7,13,キョウエイガウディ,牡4,57,岩部純二,1:13.5,1.3/4,**,2-2,39.8,3.4,2,500(0),,,,[東]中川公成,田中晴夫,
