着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,7,13,アールランペイジ,牡3,56,戸崎圭太,1:12.5,,**,1-1,38.2,1.3,1,496(+2),,,,[東]伊藤大士,前原敏行,500.0
2,8,15,チェリーマドンナ,牝3,52,野中悠太,1:12.9,2.1/2,**,3-4,38.2,49.3,9,436(-2),,,,[東]小西一男,櫻井悦朗,200.0
3,7,14,シゲルホタルイシ,牡3,56,内田博幸,1:13.0,1/2,**,3-5,38.3,7.7,2,478(-4),,,,[東]水野貴広,森中蕃,130.0
4,4,7,スリーヴリーグ,牡3,55,武藤雅,1:13.1,3/4,**,7-6,38.1,14.3,4,510(-4),,,,[東]武藤善則,Ｇ１レーシング,75.0
5,2,4,ハンターテソーロ,牡3,56,大野拓弥,1:13.6,3,**,10-10,38.4,19.4,5,472(0),,,,[東]畠山吉宏,了徳寺健二ホールディングス,50.0
6,2,3,オールドロマン,牝3,54,田辺裕信,1:13.6,ハナ,**,11-10,38.1,117.7,14,442(+4),,,,[東]松永康利,リーヴァ,
7,3,5,シュンラン,牝3,54,吉田豊,1:13.6,アタマ,**,9-8,38.5,25.2,7,448(+4),,,,[東]小桧山悟,中村勝彦,
8,8,16,パラダイスキャット,牝3,54,武士沢友,1:13.9,1.3/4,**,13-14,38.0,251.2,15,428(-8),,,,[東]石栗龍彦,石瀬浩三,
9,6,12,アイムソーグレイト,牡3,56,松岡正海,1:13.9,クビ,**,2-2,39.4,14.0,3,468(0),,,,[東]藤原辰雄,平井裕,
10,3,6,フクノナルボンヌ,牝3,51,菅原明良,1:14.1,1.1/4,**,7-8,39.1,264.5,16,484(-4),,,,[東]杉浦宏昭,福島祐子,
11,1,2,タイガーキット,牡3,56,江田照男,1:14.3,1.1/2,**,3-2,39.7,23.0,6,486(+6),,,,[東]和田正一,那須野牧場,
12,5,9,シゲルスタールビー,牝3,54,丹内祐次,1:14.4,クビ,**,12-12,38.7,45.4,8,524(-2),,,,[東]松山将樹,森中蕃,
13,4,8,ダズリングビーチ,牝3,54,伴啓太,1:14.4,ハナ,**,13-12,38.5,87.0,10,460(-12),,,,[東]武市康男,社台レースホース,
14,5,10,ゴールドヒューズ,セ3,56,的場勇人,1:15.2,5,**,6-6,40.3,112.3,13,490(-2),,,,[東]的場均,藤田孟司,
15,1,1,アーチンガイ,牡3,56,黛弘人,1:15.9,4,**,15-15,39.6,101.8,12,478(+6),,,,[東]伊藤圭三,泉俊二,
中,6,11,チャコリーナ,牝3,54,田中勝春,,,**,,,90.1,11,478(+6),,,,[東]田島俊明,村野康司,
