着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,4,7,フランシス,牝3,54,ルメール,1:12.5,,**,4-4,37.9,3.7,2,474(-2),,,,[東]竹内正洋,田島榮二郎,500.0
2,2,4,ノボオリエンス,牝3,54,大野拓弥,1:12.5,クビ,**,2-2,38.3,8.6,3,466(+8),,,,[東]尾関知人,ＬＳ．Ｍ,200.0
3,1,1,ファムファタル,牝3,54,田辺裕信,1:12.7,1.1/2,**,1-1,38.6,1.7,1,486(+2),,,,[東]栗田徹,Ｓｈａｄｏｗ,130.0
4,7,13,エリンアクトレス,牝3,54,丹内祐次,1:12.9,3/4,**,3-3,38.6,53.0,7,480(0),,,,[東]清水英克,田頭勇貴,75.0
5,6,12,ベリッシモファルコ,牝3,54,内田博幸,1:13.4,3,**,6-8,38.7,35.5,6,454(-2),,,,[東]伊藤圭三,岡田牧雄,50.0
6,3,6,モリトローテローゼ,牝3,54,伴啓太,1:13.4,クビ,**,9-9,38.2,12.9,5,464(-4),,,,[東]堀井雅広,石橋忠之,
7,6,11,スタンニングモガ,牝3,54,石川裕紀,1:13.5,1/2,**,8-6,38.6,69.0,9,430(+2),,,,[東]大和田成,小村アセットＭ,
8,4,8,サパムーカンチャイ,牝3,54,菅原隆一,1:14.0,3,**,9-9,38.8,256.6,14,448(-2),,,,[東]田中清隆,ミルファーム,
9,8,16,ローズドクレア,牝3,54,江田照男,1:14.1,1/2,**,13-13,38.1,80.7,10,492(-8),,,,[東]古賀史生,古賀和夫,
10,1,2,サクラクリスタル,牝3,54,横山典弘,1:14.1,ハナ,**,11-11,38.4,68.8,8,456(+2),,,,[東]勢司和浩,さくらコマース,
11,8,15,ニシノドクターヘリ,牝3,54,戸崎圭太,1:14.1,クビ,**,6-6,39.4,11.1,4,446(+2),,,,[東]上原博之,西山茂行,
12,2,3,サンアクロン,牝3,54,松岡正海,1:14.6,3,**,11-11,38.9,114.9,11,462(0),,,,[東]蛯名利弘,加藤ステーブル,
13,7,14,オルエン,牝3,54,岩部純二,1:14.7,1/2,**,16-16,38.0,323.7,15,438(+2),,,,[東]石栗龍彦,松谷翔太,
14,5,9,ファーマダイヤ,牝3,53,武藤雅,1:14.8,1/2,**,15-15,38.3,168.6,12,426(0),,,,[東]稲垣幸雄,中西功,
15,5,10,マブシスギル,牝3,54,武士沢友,1:15.0,1.1/4,**,13-14,39.0,369.7,16,426(-16),,,,[東]星野忍,小田切有一,
16,3,5,ユメカスミ,牝3,51,菅原明良,1:15.4,2.1/2,**,4-4,40.8,241.5,13,420(-12),,,,[東]杉浦宏昭,リトルブルーファーム,
