着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,1,2,フィアーノロマーノ,牡5,55,川田将雅,1:31.7,,**,3-4-3,34.8,6.0,2,540(-4),,,,[西]高野友和,吉田和美,"3,956.0"
2,6,12,プリモシーン,牝4,55,福永祐一,1:31.7,クビ,**,8-8-8,34.0,7.1,3,498(-2),,,,[東]木村哲也,シルクレーシング,"1,616.0"
3,7,13,マイスタイル,牡5,56,横山典弘,1:31.7,ハナ,**,6-7-6,34.5,13.6,7,454(-2),,,,[西]昆貢,寺田千代乃,988.0
4,7,14,ダイアトニック,牡4,54,北村友一,1:31.9,1.1/4,**,13-14-13,33.4,10.2,5,474(0),,,,[西]安田隆行,シルクレーシング,590.0
5,3,5,ギベオン,牡4,57.5,蛯名正義,1:32.0,3/4,**,6-4-5,35.0,7.2,4,500(-4),,,,[西]藤原英昭,社台レースホース,390.0
6,5,10,ロードクエスト,牡6,57,三浦皇成,1:32.1,クビ,**,10-12-9,34.1,13.1,6,466(+4),,,,[東]小島茂之,ロードホースクラブ,
7,2,4,ドーヴァー,牡6,56,田辺裕信,1:32.1,クビ,**,10-9-9,34.2,5.2,1,506(0),,,,[東]伊藤圭三,ゴドルフィン,
8,3,6,ヒーズインラブ,牡6,56.5,ミナリク,1:32.2,1/2,**,14-9-9,34.3,15.3,10,528(-8),,,,[西]藤岡健一,シルクレーシング,
9,4,8,ダイワキャグニー,牡5,57,石橋脩,1:32.2,クビ,**,8-12-13,34.2,14.0,8,506(+6),,,,[東]菊沢隆徳,大城敬三,
10,4,7,ハクサンルドルフ,牡6,55,内田博幸,1:32.4,1,**,16-16-16,33.5,82.3,15,468(-8),,,,[西]西園正都,河崎五市,
11,6,11,カツジ,牡4,57,松山弘平,1:32.6,1.1/4,**,14-15-13,33.9,14.6,9,490(0),,,,[西]池添兼雄,カナヤマホールディングス,
12,8,16,キャプテンペリー,セ6,55,大野拓弥,1:32.8,1.1/4,**,10-9-12,34.9,36.6,14,504(0),,,,[東]岩戸孝樹,千明牧場,
13,8,15,エイシンティンクル,牝6,53,和田竜二,1:32.9,1/2,**,2-2-2,36.3,27.2,12,488(-12),,,,[西]上村洋行,栄進堂,
14,2,3,マルターズアポジー,牡7,57,武士沢友,1:33.0,3/4,**,1-1-1,36.5,18.8,11,530(-4),,,,[東]堀井雅広,藤田在子,
15,5,9,ヤングマンパワー,牡7,56,戸崎圭太,1:33.1,クビ,**,3-6-6,36.0,118.6,16,530(+2),,,,[東]手塚貴久,星野壽市,
16,1,1,ジョーストリクトリ,牡5,56,柴田善臣,1:33.2,1/2,**,3-3-4,36.4,35.0,13,510(+6),,,,[西]清水久詞,上田けい子,
