着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,3,4,シーオブザムーン,牝2,54,三浦皇成,1:53.2,,**,7-5-4-4,35.1,4.1,1,454(0),,,,[東]金成貴史,サンデーレーシング,700.0
2,8,13,テイエムクロムシャ,牡2,55,松山弘平,1:53.3,3/4,**,2-1-1-2,35.5,4.9,3,482(0),,,,[西]鈴木孝志,竹園正繼,280.0
3,4,5,ミラキュラスパワー,牝2,54,柴田大知,1:53.6,1.3/4,**,3-3-4-4,35.6,72.9,13,434(0),,,,[東]上原博之,サラブレッドクラブ・ラフィアン,180.0
4,8,14,サトノミレニアム,牡2,55,森泰斗,1:53.6,クビ,**,9-9-7-7,35.2,4.2,2,522(0),,,,[東]木村哲也,サトミホースカンパニー,110.0
5,3,3,ショウナンアオゾラ,牡2,55,石川裕紀,1:53.8,1.1/4,**,10-10-10-10,35.1,8.6,5,460(0),,,,[東]大竹正博,湘南,70.0
6,6,10,ジェイケイブラック,牡2,55,田中勝春,1:53.9,1/2,**,3-3-2-2,36.0,49.6,10,492(0),,,,[東]松永康利,小谷野次郎,
7,7,11,オスカーティアラ,牝2,54,柴田善臣,1:53.9,アタマ,**,1-2-2-1,36.1,52.7,12,458(0),,,,[東]奥平雅士,森保彦,
8,7,12,レパルスベイ,牝2,53,藤田菜七,1:54.0,クビ,**,3-5-4-4,36.0,52.1,11,416(0),,,,[東]高橋文雅,谷口悦一,
9,1,1,パティシエール,牝2,54,大野拓弥,1:54.0,クビ,**,7-7-7-7,35.6,28.0,7,440(0),,,,[東]岩戸孝樹,ゴドルフィン,
9,2,2,アリューカス,牝2,54,嘉藤貴行,1:54.0,同着,**,11-10-10-10,35.3,46.9,9,428(0),,,,[東]竹内正洋,ヒダカファーム,
11,5,8,カーテンジュエル,牝2,54,津村明秀,1:54.1,1/2,**,6-7-7-7,35.7,9.3,6,412(0),,,,[東]尾関知人,木村直人,
12,5,7,マミーフィンガー,牝2,54,勝浦正樹,1:54.3,1.1/4,**,12-13-13-13,35.3,160.9,14,416(0),,,,[東]水野貴広,野村茂雄,
13,4,6,アラスカ,牝2,54,内田博幸,1:54.5,1.1/4,**,14-14-10-10,35.8,7.8,4,388(0),,,,[東]萩原清,池谷誠一,
14,6,9,エンジェルズライン,牝2,54,江田照男,1:54.7,1.1/2,**,12-12-13-13,35.7,44.8,8,438(0),,,,[東]田中剛,島井新一郎,
