着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,14,ネコワシ,牡3,56,丸山元気,1:53.3,,**,3-3-2-2,37.2,11.1,5,504(-2),,,,[東]星野忍,桐谷茂,"1,536.4"
2,4,7,ポルトドレーヴ,セ5,57,津村明秀,1:53.6,1.3/4,**,2-2-1-1,37.5,40.3,12,468(-2),,,,[東]古賀慎明,村野康司,610.4
3,7,12,トーホウリーガル,牡5,57,勝浦正樹,1:54.0,2.1/2,**,9-9-11-9,37.2,207.6,15,526(+6),,,,[東]古賀史生,東豊物産,385.2
4,7,13,キャベンディッシュ,牡3,56,野中悠太,1:54.0,ハナ,**,9-10-3-3,37.7,15.3,7,492(+4),,,,[東]小桧山悟,本杉芳郎,230.0
5,4,6,ベバスカーン,牡5,57,武士沢友,1:54.2,1,**,11-10-7-6,37.6,22.4,9,558(+10),,,,[東]勢司和浩,千明牧場,150.0
6,5,9,ボールドアテンプト,牝5,55,北村宏司,1:54.2,アタマ,**,6-6-11-12,37.4,30.7,11,466(+2),,,,[東]古賀慎明,Ｇ１レーシング,
7,1,1,マイネルサリューエ,牡3,56,柴田大知,1:54.4,1.1/2,**,14-13-7-6,37.8,7.0,3,502(0),,,,[東]上原博之,サラブレッドクラブ・ラフィアン,
8,5,8,アンプラグド,セ7,57,石川裕紀,1:54.4,ハナ,**,15-15-14-14,37.1,117.7,13,504(+6),,,,[東]大和田成,諸江幸祐,
9,3,5,リパーカッション,牡4,57,木幡巧也,1:54.4,アタマ,**,13-13-14-14,37.1,27.1,10,532(+4),,,,[東]牧光二,石瀬浩三,
10,2,3,エピックアン,牡3,56,ビュイッ,1:54.5,クビ,**,3-4-5-4,38.1,3.3,1,502(+14),,,,[東]大和田成,ＴＵＲＦレーシング,
11,6,10,パレスハングリー,牝4,55,田中勝春,1:54.5,クビ,**,6-6-7-9,38.0,9.6,4,480(+8),,,,[東]大江原哲,西村豊,
12,2,2,コスモロブロイ,牡3,56,丹内祐次,1:54.8,1.1/2,**,3-4-7-9,38.2,13.8,6,532(+10),,,,[東]伊藤伸一,岡田繁幸,
13,6,11,ボーントゥレイン,牡5,57,伊藤工真,1:54.9,1/2,**,11-12-13-12,38.0,193.6,14,518(-4),,,,[東]中舘英二,窪田康志,
14,8,15,ワカミヤオウジ,牡3,56,田辺裕信,1:55.3,2.1/2,**,8-6-3-6,39.0,3.7,2,498(+14),,,,[東]栗田徹,芳川貴行,
15,3,4,アスタリスク,牡5,57,大野拓弥,1:55.6,1.3/4,**,1-1-5-4,39.2,17.3,8,478(+2),,,,[東]奥村武,石川達絵,
