着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,2,3,ハクモクレン,牝2,54,三浦皇成,1:57.6,,**,1-1-1-1,39.7,1.8,1,508(0),,,,[東]萩原清,吉田和子,700.0
2,4,7,ベンガラグンジョウ,牡2,55,田辺裕信,1:57.9,1.3/4,**,3-2-3-2,39.9,41.1,9,532(0),,,,[東]伊藤大士,諸江幸祐,280.0
3,1,1,ゴールドソックス,牡2,54,木幡巧也,1:58.5,4,**,4-4-4-2,40.3,8.2,3,502(0),,,,[東]牧光二,澤田孝之,180.0
4,6,11,リワードトリトン,牡2,55,村田一誠,1:58.6,1/2,**,4-4-6-8,40.1,179.2,14,496(0),,,,[東]藤原辰雄,宮崎忠比古,110.0
5,2,4,ノブベック,牡2,55,田中勝春,1:58.9,1.3/4,**,2-2-2-2,41.0,76.9,12,498(0),,,,[東]畠山吉宏,前田亘輝,70.0
6,6,12,タイムリメンバード,牝2,54,嘉藤貴行,1:59.1,1.1/4,**,4-4-5-5,40.8,87.4,13,452(0),,,,[東]大和田成,阿部善武,
7,7,14,アラゴネス,セ2,52,野中悠太,1:59.2,1/2,**,9-10-10-8,40.2,36.8,8,556(0),,,,[東]新開幸一,吉田勝己,
8,1,2,ベルジュネス,牡2,55,戸崎圭太,1:59.7,3,**,9-7-6-6,41.2,31.5,7,468(0),,,,[東]畠山吉宏,岡田牧雄,
9,7,13,エスデス,牝2,54,横山典弘,1:59.7,クビ,**,11-12-12-11,40.4,15.0,5,438(0),,,,[東]田中博康,田原邦男,
10,5,9,キャストロット,牡2,55,大野拓弥,2:00.2,3,**,11-10-8-7,41.4,13.9,4,502(0),,,,[東]中川公成,多田賢司,
11,8,15,シンティラ,牡2,54,武藤雅,2:00.4,1,**,14-14-12-12,41.0,44.5,10,494(0),,,,[東]武藤善則,ノースヒルズ,
12,8,16,ミエノカムカム,牡2,55,北村宏司,2:01.2,5,**,7-7-10-13,42.2,65.5,11,458(0),,,,[東]高柳瑞樹,里見美惠子,
13,4,8,ムキムキムッキー,牡2,55,Ｃ．デム,2:01.3,1/2,**,7-7-8-10,42.6,5.7,2,516(0),,,,[東]加藤征弘,イージス,
14,5,10,カズノマックイーン,牡2,55,柴田大知,2:01.5,1.1/2,**,15-15-15-14,41.0,224.6,15,504(0),,,,[東]小笠倫弘,鈴木可一,
15,3,6,フクノレジーナ,牝2,51,木幡育也,2:01.6,クビ,**,13-13-14-14,41.5,280.6,16,506(0),,,,[東]杉浦宏昭,福島祐子,
16,3,5,サルパ,牡2,55,ビュイッ,2:30.1,大,**,16-16-16-16,62.1,23.3,6,526(0),,,,[東]高橋文雅,吉田和美,
