着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,4,8,ダウンタウンプリマ,牝2,54,大野拓弥,1:12.0,,**,2-3,37.8,76.1,10,452(+2),,,,[東]斎藤誠,林正道,500.0
2,4,7,ステイホット,牝2,54,岩田康誠,1:12.2,1.1/4,**,2-2,38.1,10.0,5,476(-2),,,,[東]杉浦宏昭,小林善一,200.0
3,1,1,エスプランデル,牡2,55,ビュイッ,1:12.5,2,**,4-3,38.1,3.0,1,494(+8),,,,[東]木村哲也,サンデーレーシング,130.0
4,2,4,コマノゼニト,牡2,55,内田博幸,1:12.7,1,**,9-5,38.1,5.4,3,470(+8),,,,[東]伊藤圭三,長谷川芳信,75.0
5,3,5,アサクサマヤ,牝2,54,横山典弘,1:12.7,クビ,**,13-13,36.6,30.9,8,486(-10),,,,[東]田島俊明,蛭田素子,50.0
6,8,15,セイスピカ,牝2,54,三浦皇成,1:13.0,2,**,7-7,38.5,12.0,6,430(+2),,,,[東]中川公成,金田成基,
7,6,11,クールティアラ,牝2,54,柴田大知,1:13.2,1.1/2,**,4-7,38.8,4.2,2,468(+6),,,,[東]矢野英一,川上哲司,
8,2,3,アテンフェアリー,牝2,51,木幡育也,1:13.3,クビ,**,7-5,38.8,19.4,7,456(+2),,,,[東]萱野浩二,齊藤直信,
9,8,16,ベリッシモファルコ,牝2,53,木幡巧也,1:13.5,1.1/2,**,11-11,38.7,62.4,9,446(-2),,,,[東]伊藤圭三,岡田牧雄,
10,6,12,ローズドクレア,牝2,54,江田照男,1:14.1,3.1/2,**,9-10,39.5,246.6,12,486(+8),,,,[東]古賀史生,古賀和夫,
11,1,2,フレッシュスマイル,牝2,54,戸崎圭太,1:14.3,1.1/2,**,1-1,40.2,7.1,4,454(-2),,,,[東]勢司和浩,坪野谷和平,
12,7,14,クリキンツバ,牝2,54,武士沢友,1:15.1,5,**,14-14,37.9,483.6,14,466(-10),,,,[東]星野忍,田頭勇貴,
13,5,9,ジュンサナエ,牝2,54,伴啓太,1:15.2,クビ,**,4-7,40.8,669.8,16,444(0),,,,[東]高柳瑞樹,河合純二,
14,3,6,ハチノヘキンボシ,牡2,55,西田雄一,1:15.6,2.1/2,**,11-11,40.7,664.3,15,436(+6),,,,[東]天間昭一,西村新一郎,
15,7,13,シナモンシュガー,牝2,54,石川裕紀,1:17.3,大,**,15-15,39.7,243.7,11,440(-2),,,,[東]加藤和宏,スピードファーム,
16,5,10,ラトラップクール,牡2,52,野中悠太,1:19.2,大,**,16-16,41.3,401.2,13,464(+2),,,,[東]大江原哲,田頭勇貴,
