着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,10,テングレート,牡2,55,モレイラ,1:56.6,,**,3-3-3-1,38.3,1.7,1,486(-4),,,,[東]金成貴史,天白泰司,500.0
2,1,2,バンディエラ,牡2,55,嘉藤貴行,1:56.7,1/2,**,14-14-7-7,38.1,6.9,3,520(-4),,,,[東]竹内正洋,東海林貴大,200.0
3,6,11,トゥルボー,牡2,55,勝浦正樹,1:57.1,2.1/2,**,5-5-4-4,38.6,27.0,6,486(-4),,,,[東]小笠倫弘,ノースヒルズ,130.0
4,8,15,シークザトゥルース,牝2,54,柴田大知,1:57.7,3.1/2,**,2-2-2-2,39.5,31.6,7,478(+4),,,,[東]田中清隆,サラブレッドクラブ・ラフィアン,75.0
5,4,7,コウジンホウオウ,牡2,55,江田照男,1:57.8,クビ,**,3-3-4-4,39.4,121.7,12,470(0),,,,[東]松山将樹,加藤興一,50.0
6,6,12,トキノミドリ,牡2,55,戸崎圭太,1:58.1,1.3/4,**,14-14-13-11,38.7,11.2,4,504(-8),,,,[東]柴田政人,岡田勇,
7,3,5,フライクーゲル,牡2,55,田辺裕信,1:58.3,1,**,8-7-4-4,39.9,5.3,2,478(+14),,,,[東]黒岩陽一,水上行雄,
8,7,14,ユノートルベル,牝2,54,宮崎北斗,1:58.4,3/4,**,7-8-9-9,39.5,86.7,11,468(-10),,,,[東]池上昌和,サラブレッドクラブ・ラフィアン,
9,4,8,アスカエンペラー,牡2,55,蛯名正義,1:58.8,2.1/2,**,12-11-11-11,39.6,61.3,9,474(+4),,,,[東]本間忍,上野武,
10,8,16,グラスプレジャー,牡2,54,木幡巧也,1:58.9,1/2,**,5-5-7-8,40.2,193.0,13,458(0),,,,[東]杉浦宏昭,半沢,
11,3,6,タトゥーアリ,牡2,52,野中悠太,1:58.9,クビ,**,10-9-11-11,39.7,362.8,15,528(+8),,,,[東]小桧山悟,アフロｉｎＥｌＰａｓｏ,
12,2,3,シゲルアメジスト,牡2,55,武士沢友,1:59.5,3.1/2,**,16-16-15-14,40.0,408.3,16,488(0),,,,[東]粕谷昌央,森中蕃,
13,1,1,リュウノイブキ,牡2,55,丸山元気,1:59.7,1.1/4,**,8-9-9-9,40.8,51.4,8,500(+6),,,,[東]土田稔,二口雅一,
14,2,4,マンゴープリン,牝2,54,大庭和弥,2:00.0,1.3/4,**,11-11-15-14,40.4,275.5,14,436(0),,,,[東]石毛善彦,田頭勇貴,
15,5,9,マーヴェラスロード,牡2,55,三浦皇成,2:00.1,3/4,**,1-1-1-3,42.0,22.1,5,478(+2),,,,[東]鹿戸雄一,山本又一郎,
16,7,13,ウインコンダクター,牡2,52,木幡育也,2:00.1,アタマ,**,12-13-13-16,40.7,82.4,10,454(0),,,,[東]畠山吉宏,ウイン,
