着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,9,メイプルガーデン,牝2,54,松岡正海,1:57.1,,**,4-4-3-5,41.1,16.4,5,478(0),,,,[東]高市圭二,節英司,500.0
2,4,8,ジューンバラード,牝2,54,武士沢友,1:57.2,3/4,**,15-15-13-11,39.4,111.0,11,414(-4),,,,[東]堀井雅広,吉川潤,200.0
3,3,5,モーンストルム,牝2,54,柴田大知,1:57.3,1/2,**,3-3-3-3,41.3,3.2,2,442(0),,,,[東]高橋祥泰,ブルースターズファーム,130.0
4,8,15,ジーナアイリス,牝2,54,内田博幸,1:57.4,1/2,**,2-2-2-2,41.7,2.0,1,520(-6),,,,[東]田村康仁,シルクレーシング,75.0
5,3,6,クイックステップ,牝2,54,大野拓弥,1:58.0,3.1/2,**,5-5-6-4,41.6,38.7,6,494(+6),,,,[東]高木登,ラ・メール,50.0
6,2,3,テロワール,牝2,54,田中勝春,1:58.2,1.1/4,**,6-7-8-6,41.2,230.3,12,518(+10),,,,[東]奥村武,小林由明,
7,1,2,モリトローテローゼ,牝2,54,伴啓太,1:59.0,5,**,8-7-7-8,42.2,92.2,10,472(+6),,,,[東]堀井雅広,石橋忠之,
8,7,14,メイソフィア,牝2,53,武藤雅,1:59.1,1/2,**,13-13-11-11,41.6,70.6,8,488(+4),,,,[東]勢司和浩,千明牧場,
9,4,7,ベイオブレインボー,牝2,54,勝浦正樹,1:59.3,1.1/4,**,14-13-15-15,40.9,427.6,16,476(-8),,,,[東]中野栄治,飯田政子,
10,5,10,フルールデシャン,牝2,54,蛯名正義,1:59.4,3/4,**,10-9-8-9,42.3,82.4,9,428(0),,,,[東]田中清隆,飯田正剛,
11,7,13,チャコリーナ,牝2,54,北村宏司,2:00.3,5,**,10-12-11-13,42.8,282.7,13,476(-8),,,,[東]田島俊明,村野康司,
12,1,1,アレグレユミティー,牝2,54,江田照男,2:00.4,1/2,**,8-9-13-14,42.7,336.7,14,450(-4),,,,[東]本間忍,斉藤等,
13,2,4,トミケンヴァール,牝2,51,野中悠太,2:00.5,クビ,**,10-9-8-9,43.5,347.4,15,418(0),,,,[東]小西一男,冨樫賢二,
14,6,11,セイドアモール,牝2,54,アヴドゥ,2:00.9,2.1/2,**,1-1-1-1,45.2,12.7,4,466(+10),,,,[東]武市康男,サラブレッドクラブ・ラフィアン,
15,6,12,ヴォアラ,牝2,54,三浦皇成,2:01.9,6,**,7-6-5-6,45.8,6.6,3,482(-4),,,,[東]新開幸一,ミルファーム,
中,8,16,スズカマリーシップ,牝2,54,田辺裕信,,,**,,,66.3,7,454(-4),,,,[東]伊藤圭三,永井啓弍,
