着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,15,サニーダンサー,牡3,56,マーフィ,1:11.0,,**,1-1,38.0,16.4,6,478(+4),,,,[東]加藤征弘,陳立文,"1,539.2"
2,3,6,フランシスコダイゴ,牡3,56,北村友一,1:11.2,1.1/4,**,7-8,37.7,14.2,4,480(+6),,,,[東]武市康男,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,611.2
3,2,3,ミスパイロ,牝4,55,横山典弘,1:11.2,アタマ,**,14-12,36.6,17.1,7,488(+16),,,,[東]小野次郎,村田哲朗,385.6
4,6,11,リガス,牡4,57,池添謙一,1:11.2,ハナ,**,2-2,38.1,18.4,8,518(0),,,,[西]池添兼雄,カナヤマホールディングス,230.0
5,4,8,アナザーバージョン,セ7,57,アヴドゥ,1:11.4,1,**,9-8,37.8,32.6,10,478(0),,,,[東]久保田貴,サンデーレーシング,150.0
6,5,9,シアーライン,牡5,57,Ｃ．デム,1:11.4,アタマ,**,7-5,37.9,3.1,1,532(+6),,,,[東]中川公成,吉田照哉,
7,1,2,ララパルーザ,牡5,57,内田博幸,1:11.4,クビ,**,16-16,36.5,78.1,12,528(0),,,,[東]岩戸孝樹,ノルマンディーサラブレッドレーシング,
8,1,1,シルヴァーコード,牝6,55,大野拓弥,1:11.4,ハナ,**,3-3,38.2,94.3,14,484(+8),,,,[東]粕谷昌央,田上雅春,
9,5,10,シンボリバーグ,牝4,55,ルメール,1:11.5,クビ,**,5-5,38.1,3.6,2,498(+14),,,,[東]藤沢和雄,シンボリ牧場,
10,6,12,デピュティプライム,セ5,57,戸崎圭太,1:11.7,1,**,14-14,37.1,16.4,5,486(0),,,,[東]小島茂之,丸山担,
11,2,4,コウユーホクト,牡3,56,勝浦正樹,1:11.9,1.1/2,**,12-11,37.8,84.9,13,514(+4),,,,[東]竹内正洋,加治屋貞光,
12,3,5,ステラルーチェ,牡6,57,武士沢友,1:12.0,クビ,**,13-14,37.7,29.5,9,492(+16),,,,[東]蛯名利弘,池田草龍,
13,4,7,サンデュランゴ,牝4,55,松岡正海,1:12.0,ハナ,**,9-10,38.4,181.0,16,474(+4),,,,[東]蛯名利弘,加藤ステーブル,
14,8,16,ロスカボス,セ5,57,田辺裕信,1:12.3,2,**,5-5,38.9,33.8,11,508(-2),,,,[東]大江原哲,吉田照哉,
15,7,13,スリーミニオン,牡3,56,三浦皇成,1:12.4,1/2,**,11-12,38.4,4.7,3,476(+12),,,,[東]柄崎孝,永井商事,
16,7,14,ヤマニンシャンデル,牝6,55,西田雄一,1:13.0,3.1/2,**,3-3,39.7,160.5,15,478(+10),,,,[東]栗田博憲,土井肇,
