着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,2,3,ミスパンテール,牝4,56,横山典弘,1:32.7,,**,7-7-5,35.0,9.9,5,512(-2),,,,[西]昆貢,寺田千代乃,"3,658.8"
2,4,7,リバティハイツ,牝3,54,北村友一,1:32.8,1/2,**,3-5-3,35.4,33.5,10,450(+8),,,,[西]高野友和,社台レースホース,"1,416.8"
3,3,6,デンコウアンジュ,牝5,55,柴田善臣,1:32.8,クビ,**,13-15-15,34.3,58.3,13,462(+6),,,,[西]荒川義之,田中康弘,908.4
4,7,13,フロンテアクイーン,牝5,55,マーフィ,1:32.9,クビ,**,3-2-2,35.8,8.3,4,474(-2),,,,[東]国枝栄,三協ファーム,540.0
5,6,11,ディメンシオン,牝4,53,福永祐一,1:32.9,クビ,**,3-6-5,35.3,8.0,3,450(-8),,,,[西]藤原英昭,広尾レース,360.0
6,5,9,レッドオルガ,牝4,54,Ｃ．デム,1:33.0,1/2,**,13-14-13,34.6,13.7,6,450(+2),,,,[西]藤原英昭,東京ホースレーシング,
7,1,2,リナーテ,牝4,53,三浦皇成,1:33.0,アタマ,**,9-9-9,35.0,23.3,9,480(+8),,,,[西]須貝尚介,サンデーレーシング,
8,5,10,プリモシーン,牝3,55,ビュイッ,1:33.0,ハナ,**,7-8-8,35.2,3.1,1,500(+6),,,,[東]木村哲也,シルクレーシング,
9,6,12,ミエノサクシード,牝5,55,川島信二,1:33.1,クビ,**,9-11-11,34.9,39.5,12,458(-6),,,,[西]高橋亮,里見美惠子,
10,2,4,ハーレムライン,牝3,52,大野拓弥,1:33.1,アタマ,**,2-3-3,35.8,20.9,8,474(+2),,,,[東]田中清隆,吉田千津,
11,3,5,フローレスマジック,牝4,54,ルメール,1:33.1,アタマ,**,13-11-11,34.8,3.9,2,480(+10),,,,[東]木村哲也,サンデーレーシング,
12,7,14,カイザーバル,牝5,53,四位洋文,1:33.2,3/4,**,9-9-9,35.2,34.2,11,486(-4),,,,[西]中竹和也,社台レースホース,
13,4,8,キョウワゼノビア,牝5,52,田中勝春,1:33.3,3/4,**,9-11-13,35.0,200.7,16,486(+8),,,,[西]角田晃一,協和牧場,
14,8,15,カワキタエンカ,牝4,55,池添謙一,1:33.4,クビ,**,1-1-1,36.4,19.3,7,466(-4),,,,[西]浜田多実,川島吉男,
15,1,1,アンコールプリュ,牝3,52,藤岡康太,1:34.4,6,**,16-15-15,35.9,183.7,15,424(-10),,,,[西]友道康夫,金子真人ホールディングス,
16,8,16,リエノテソーロ,牝4,55,田辺裕信,1:34.5,3/4,**,3-3-5,37.2,147.1,14,460(+6),,,,[東]武井亮,了徳寺健二ホールディングス,
