着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,2,3,ワカミヤオウジ,牡3,56,田辺裕信,1:55.3,,**,14-13-10-10,39.3,3.5,2,476(-4),,,,[東]栗田徹,芳川貴行,720.0
2,5,10,ミラクルブラッド,牝3,54,岩田康誠,1:55.5,1.1/4,**,5-5-4-3,40.0,25.7,8,440(-10),,,,[東]相沢郁,芹澤精一,290.0
3,7,14,ミックベンハー,牡3,53,武藤雅,1:55.5,ハナ,**,7-7-7-8,39.6,10.3,5,484(+2),,,,[東]畠山吉宏,キラット・ワン,180.0
4,6,11,エクレアハンター,牡3,56,石橋脩,1:55.5,クビ,**,1-1-1-1,40.3,9.1,4,452(-2),,,,[東]大和田成,李柱坤,110.0
5,4,7,ロードトレジャー,牡3,56,三浦皇成,1:55.6,クビ,**,15-15-11-10,39.5,11.0,6,472(-4),,,,[東]小島茂之,ロードホースクラブ,72.0
6,8,16,キングスヴァリュー,牡3,56,内田博幸,1:55.8,1.1/4,**,5-5-5-4,40.2,3.2,1,494(0),,,,[東]国枝栄,シルクレーシング,
7,1,2,ロージズキング,牡3,56,木幡初広,1:55.8,ハナ,**,9-9-12-10,39.6,106.7,13,506(-6),,,,[東]牧光二,鈴木芳夫,
8,3,6,ゴッドスパロウ,牡3,56,福永祐一,1:56.1,1.3/4,**,9-9-7-4,40.3,12.2,7,532(-8),,,,[西]角田晃一,中西憲治,
9,2,4,ミッキーチャイルド,牡3,56,北村宏司,1:56.1,クビ,**,9-11-7-8,40.2,117.9,14,468(-4),,,,[東]久保田貴,野田みづき,
10,3,5,グラファイト,牡3,56,丸田恭介,1:56.7,3.1/2,**,13-13-12-13,40.4,94.3,12,476(-2),,,,[東]宗像義忠,社台レースホース,
11,5,9,イエローブレイヴ,牡3,56,柴山雄一,1:56.7,アタマ,**,12-11-12-13,40.5,51.2,11,526(-2),,,,[東]武市康男,本田恒雄,
12,6,12,ムルシェラゴ,牡3,56,川田将雅,1:56.9,1.1/4,**,4-4-5-4,41.3,42.4,10,526(-2),,,,[東]奥村武,ＫＴレーシング,
13,7,13,スペースファルコン,牡3,56,吉田隼人,1:57.0,クビ,**,2-2-2-2,41.6,36.2,9,492(+10),,,,[東]新開幸一,星野隆男,
14,4,8,サンダーラム,牡3,56,松岡正海,1:57.6,3.1/2,**,16-16-16-15,40.6,187.7,15,500(0),,,,[東]中舘英二,加藤ステーブル,
15,1,1,キラキラオーラ,牝3,54,大庭和弥,1:57.7,3/4,**,7-7-15-15,40.9,304.7,16,434(-4),,,,[東]谷原義明,田頭勇貴,
16,8,15,ヴェルトゥアル,牡3,56,戸崎圭太,1:58.5,5,**,2-3-2-4,43.1,7.6,3,472(-2),,,,[東]加藤征弘,シルクレーシング,
