着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,8,15,インザバブル,牡5,57,蛯名正義,1:54.7,,**,5-5-3-3,38.4,12.2,6,490(-4),,,,[東]新開幸一,Ｇ１レーシング,750.0
2,1,2,グッドラックサマー,牡4,56,横山和生,1:54.8,1/2,**,2-2-2-1,38.7,68.4,13,546(+12),,,,[東]尾形和幸,澤田孝之,300.0
3,6,11,スターフラッシュ,牡4,56,吉田隼人,1:54.9,3/4,**,14-14-8-7,38.2,3.1,1,468(0),,,,[東]武井亮,中西功,190.0
4,4,7,ハイアーグラウンド,牡4,56,田辺裕信,1:55.0,1/2,**,9-10-5-5,38.6,7.0,4,500(+4),,,,[東]大和田成,小村アセットＭ,110.0
5,3,5,セガールモチンモク,セ4,56,戸崎圭太,1:55.6,3.1/2,**,11-11-8-7,38.9,4.2,2,486(0),,,,[東]粕谷昌央,小田切有一,75.0
6,7,13,アイヅヒリュウ,牡4,56,柴山雄一,1:55.8,1.1/4,**,5-5-5-5,39.4,10.9,5,494(-6),,,,[東]小笠倫弘,真部晴徳,
7,8,16,シルヴァーメテオ,牡4,56,柴田大知,1:55.9,3/4,**,11-11-13-11,38.9,56.3,11,482(+10),,,,[東]畠山吉宏,ライオンレースホース,
8,1,1,マイティーゴールド,牡5,57,内田博幸,1:56.5,3.1/2,**,7-7-8-10,39.8,6.7,3,550(-2),,,,[東]尾関知人,キャロットファーム,
9,2,4,ヤマニンバンタジオ,セ4,56,嘉藤貴行,1:56.5,クビ,**,13-11-13-11,39.5,47.9,10,546(+30),,,,[東]田島俊明,土井肇,
10,5,10,ビッザーロ,牝4,54,北村宏司,1:56.6,クビ,**,4-3-3-3,40.4,23.0,8,552(+16),,,,[東]奥村武,ラ・メール,
11,3,6,エグランティエ,牝6,52,武藤雅,1:56.6,クビ,**,14-14-13-11,39.6,71.4,14,442(+16),,,,[東]上原博之,ターフ・スポート,
12,6,12,ダイワドノヴァン,牡4,53,野中悠太,1:56.7,クビ,**,9-7-8-9,40.0,14.2,7,526(-4),,,,[東]池上昌弘,大城敬三,
13,4,8,アイアムジュピター,牡4,56,菅原隆一,1:56.9,1.1/4,**,1-1-1-2,40.9,57.9,12,518(+14),,,,[東]奥平雅士,堀紘一,
14,2,3,ビルトアゲン,牡5,57,岩部純二,1:57.5,3.1/2,**,16-16-16-15,40.3,199.7,15,490(+10),,,,[東]萱野浩二,浅川皓司,
15,7,14,シルバーコンパス,牝4,54,的場勇人,1:57.5,ハナ,**,8-7-8-11,40.8,41.8,9,534(-4),,,,[東]的場均,杉浦和也,
16,5,9,スマートアレス,牡4,56,西田雄一,1:59.5,大,**,3-3-7-15,42.9,260.4,16,524(+8),,,,[東]星野忍,トニー倶楽部,
