着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,5,10,ムーンライトナイト,牝3,54,森泰斗,2:03.0,,**,9-9-9-7,35.1,9.3,4,438(+8),,,,[東]久保田貴,シルクレーシング,500.0
2,7,13,モンテグロッソ,牡3,56,北村宏司,2:03.2,1.1/4,**,11-11-11-10,35.0,7.4,3,514(0),,,,[東]木村哲也,Ｈ．Ｈ．シェイク・モハメド,200.0
3,3,6,アモーレミオ,牝3,54,戸崎圭太,2:03.4,1,**,10-9-9-8,35.4,3.9,2,486(+10),,,,[東]勢司和浩,キャロットファーム,130.0
4,4,7,ロードジパング,牡3,56,三浦皇成,2:03.4,クビ,**,2-2-2-2,36.1,9.7,5,450(+4),,,,[東]菊川正達,ロードホースクラブ,75.0
5,6,11,ツインクルテソーロ,牡3,56,内田博幸,2:03.7,2,**,14-14-15-12,35.2,138.6,14,476(-6),,,,[東]奥平雅士,了徳寺健二,50.0
6,2,3,ブライトロージー,牝3,51,武藤雅,2:03.8,クビ,**,13-12-11-11,35.5,97.2,10,470(-6),,,,[東]和田正道,吉田千津,
7,4,8,モンツァ,牡3,56,柴山雄一,2:04.0,1.1/4,**,2-2-2-2,36.8,23.2,7,522(+4),,,,[東]鹿戸雄一,吉田勝己,
8,8,15,カシノデジール,牝3,54,二本柳壮,2:04.0,クビ,**,16-16-1-1,37.0,31.1,8,426(-6),,,,[東]二本柳俊,柏木務,
9,1,2,ドゥマン,牡3,56,田辺裕信,2:04.0,アタマ,**,4-4-5-4,36.5,2.4,1,484(-2),,,,[東]栗田博憲,山口功一郎,
10,2,4,クリノバルテュス,牡3,56,西田雄一,2:04.4,2.1/2,**,5-4-5-4,36.8,220.5,15,482(+12),,,,[東]伊藤伸一,栗本博晴,
11,1,1,ハッシュレート,牡3,56,江田照男,2:04.4,クビ,**,8-8-8-8,36.6,100.2,11,496(+20),,,,[東]佐藤吉勝,田頭勇貴,
12,5,9,ミラーマッチ,牝3,54,横山和生,2:04.6,1,**,5-6-7-4,36.9,35.0,9,466(0),,,,[東]勢司和浩,吉田照哉,
13,6,12,ウインブロンクス,牡3,56,松岡正海,2:05.0,2.1/2,**,11-12-14-13,36.6,12.5,6,440(+4),,,,[東]畠山吉宏,ウイン,
14,7,14,アースルナ,牝3,51,野中悠太,2:06.5,9,**,5-6-11-15,38.3,233.0,16,418(+4),,,,[東]粕谷昌央,松山増男,
15,8,16,ココリシャイン,牡3,56,大野拓弥,2:08.0,9,**,14-14-15-16,39.4,132.8,13,472(-4),,,,[東]古賀慎明,美崎光二郎,
16,3,5,ウインサジェス,牡3,56,黛弘人,2:08.4,2.1/2,**,1-1-2-13,41.1,107.5,12,436(0),,,,[東]清水英克,ウイン,
