着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,7,14,アイライン,牝6,55,勝浦正樹,1:08.2,,**,15-15,34.1,100.2,14,474(-4),,,,[東]高橋裕,アラキファーム,"1,856.4"
2,7,13,アルマエルナト,セ7,57,柴田大知,1:08.3,1/2,**,11-13,34.5,7.4,3,476(0),,,,[東]伊藤大士,コウトミックレーシング,740.4
3,2,3,ロードセレリティ,牡5,57,三浦皇成,1:08.4,3/4,**,5-4,35.0,2.4,1,492(-2),,,,[東]高柳瑞樹,ロードホースクラブ,465.2
4,4,8,アッラサルーテ,牝5,55,石橋脩,1:08.5,1/2,**,8-8,34.9,4.7,2,492(+10),,,,[東]手塚貴久,吉田勝己,270.0
5,3,6,メイショウスイヅキ,牝5,55,横山典弘,1:08.7,1,**,15-15,34.6,30.8,10,470(-4),,,,[西]本田優,松本好雄,182.0
6,5,9,ナインテイルズ,牡7,57,柴山雄一,1:08.7,ハナ,**,5-4,35.3,12.3,6,482(-2),,,,[西]中村均,岡田牧雄,
7,3,5,ドラゴンストリート,牡7,57,大野拓弥,1:08.7,アタマ,**,11-11,34.9,40.7,11,482(+6),,,,[東]田島俊明,窪田芳郎,
8,2,4,トシザキミ,牝7,55,江田照男,1:08.7,アタマ,**,8-6,35.1,25.2,8,490(+4),,,,[西]鮫島一歩,上村利幸,
9,4,7,メイショウブイダン,牡7,57,村田一誠,1:08.7,ハナ,**,11-11,34.9,119.4,15,464(0),,,,[西]西浦勝一,松本好雄,
10,1,2,デンコウウノ,牡7,57,太宰啓介,1:08.7,アタマ,**,8-8,35.0,20.7,7,502(+2),,,,[西]渡辺薫彦,田中康弘,
11,8,15,レジーナフォルテ,牝4,54,吉田隼人,1:08.8,クビ,**,2-2,35.7,10.4,4,490(+14),,,,[東]佐藤吉勝,永山勝敏,
12,6,11,クインズサリナ,牝4,54,田辺裕信,1:08.8,クビ,**,3-3,35.6,27.3,9,442(-6),,,,[西]西村真幸,亀田和弘,
13,1,1,フクノグローリア,牝6,55,二本柳壮,1:09.0,1,**,14-13,35.1,11.9,5,486(+12),,,,[東]杉浦宏昭,福島祐子,
14,5,10,ウエスタンユーノー,牝7,55,横山和生,1:09.3,1.3/4,**,1-1,36.3,75.4,13,490(+2),,,,[東]菊沢隆徳,西川賢,
15,6,12,ベルモントラハイナ,牝7,55,藤田菜七,1:09.8,3,**,7-8,36.3,56.1,12,492(+18),,,,[東]和田正道,和田牧場,
16,8,16,クリノコマチ,牝7,55,田中勝春,1:09.9,クビ,**,3-6,36.7,269.9,16,468(+14),,,,[東]伊藤伸一,栗本博晴,
