着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,2,4,ケイアイビリジアン,牡3,56,大野拓弥,1:12.4,,**,4-3,37.1,1.6,1,504(0),,,,[東]奥平雅士,亀田和弘,500.0
2,8,15,ナムラアイアイサー,牡3,56,菅原隆一,1:12.4,クビ,**,4-5,37.0,18.0,6,466(-10),,,,[東]武市康男,奈村睦弘,200.0
3,4,8,シゲルアパライト,牡3,53,山田敬士,1:12.9,3,**,1-1,37.9,6.9,3,470(+2),,,,[東]石毛善彦,森中蕃,130.0
4,5,9,ベアクアウフ,牡3,56,三浦皇成,1:13.0,3/4,**,2-2,37.9,10.5,4,490(+6),,,,[東]清水英克,ディアレストクラブ,75.0
5,4,7,オルクリスト,牡3,56,戸崎圭太,1:13.0,アタマ,**,9-8,37.0,6.6,2,470(-2),,,,[東]杉浦宏昭,日進牧場,50.0
6,8,16,シゲルスギライト,牝3,54,江田照男,1:13.6,3.1/2,**,14-12,37.2,79.4,11,472(-16),,,,[東]高橋裕,森中蕃,
7,5,10,ジェイエルフラッグ,牝3,54,吉田豊,1:13.7,クビ,**,7-7,37.9,55.7,10,428(-4),,,,[東]小西一男,橋元幸人,
8,7,14,シャインオンアテナ,牝3,53,木幡巧也,1:14.0,2,**,11-10,37.9,253.8,14,418(+4),,,,[東]上原博之,芳賀滿男,
9,6,11,ガイヤルド,牡3,54,野中悠太,1:14.0,クビ,**,12-10,37.7,40.5,7,460(-8),,,,[東]田島俊明,サンデーレーシング,
10,7,13,チタノブーケ,牝3,54,嘉藤貴行,1:14.0,ハナ,**,2-3,38.9,48.8,8,430(+6),,,,[東]高市圭二,中村光利,
11,3,6,ミラクルアゲイン,牝3,54,武士沢友,1:14.1,クビ,**,4-5,38.8,14.9,5,434(+2),,,,[東]堀井雅広,藤田在子,
12,1,1,タイムファクター,牡3,56,内田博幸,1:14.3,1.1/2,**,14-12,37.9,98.0,12,476(0),,,,[東]武藤善則,高橋文男,
13,2,3,スズカキッド,牡3,54,菊沢一樹,1:14.9,3.1/2,**,12-14,38.7,120.6,13,456(+6),,,,[東]柄崎孝,永井啓弍,
14,3,5,ケイトリン,牝3,51,菅原明良,1:15.5,3.1/2,**,7-8,39.8,333.9,16,454(-4),,,,[東]武市康男,川島吉男,
15,1,2,ゼネラルスターク,牡3,53,木幡育也,1:16.0,3,**,9-14,40.1,274.0,15,462(0),,,,[東]伊藤伸一,ジェネラルレーシング,
16,6,12,アニマート,牡3,56,田中勝春,1:16.6,3.1/2,**,16-16,39.9,55.5,9,506(-2),,,,[東]黒岩陽一,ゴドルフィン,
